gid,lbl,val
나라99ab42ba,,
나라99ba37bb,,
나라99ba38ba,,
나라99ba38bb,,
나라99ba39aa,,
나라99ba39ab,,
나라99ba39ba,,
나라99ba39bb,,
나라99ba40aa,,
나라99ba40ab,,
나라99ba40ba,,
나라99ba40bb,,
나라99ba41aa,N/A,0.0000000000000000000000000000000
나라99ba41ab,,
나라99ba41ba,,
나라99ba41bb,,
나라99ba42aa,,
나라99ba42ab,N/A,0.0000000000000000000000000000000
나라99ba42ba,,
나라99bb38ab,,
나라99bb38bb,,
나라99bb39aa,"8.00",8.0000000000000000000000000000000
나라99bb39ab,N/A,0.0000000000000000000000000000000
나라99bb39ba,,
나라99bb39bb,,
나라99bb40aa,,
나라99bb40ab,"7.00",7.0000000000000008881784197001252
나라99bb40ba,,
나라99bb40bb,,
나라99bb41aa,,
나라99bb41ab,,
나라99bb41ba,,
나라99bb41bb,,
나라99bb42aa,,
나라99bb42ab,N/A,0.0000000000000000000000000000000
나라99bb42ba,,
다라00aa37bb,,
다라00aa38aa,,
다라00aa38ab,,
다라00aa38ba,,
다라00aa38bb,,
다라00aa39aa,,
다라00aa39ab,,
다라00aa39ba,N/A,0.0000000000000000000000000000000
다라00aa39bb,N/A,0.0000000000000000000000000000000
다라00aa40aa,"8.00",8.0000000000000000000000000000000
다라00aa40ab,"10.00",9.9999999999999982236431605997495
다라00aa40ba,N/A,0.0000000000000000000000000000000
다라00aa40bb,,
다라00aa41aa,,
다라00aa41ab,,
다라00aa41ba,,
다라00aa41bb,,
다라00aa42aa,,
다라00aa42ab,,
다라00aa42ba,,
다라00ab37bb,,
다라00ab38aa,,
다라00ab38ab,,
다라00ab38ba,,
다라00ab38bb,,
다라00ab39aa,,
다라00ab39ab,,
다라00ab39ba,,
다라00ab39bb,"13.00",13.0000000000000000000000000000000
다라00ab40aa,"15.00",15.0000000000000000000000000000000
다라00ab40ab,,
다라00ab40ba,,
다라00ab40bb,,
다라00ab41aa,,
다라00ab41ab,,
다라00ab41ba,,
다라00ab41bb,,
다라00ab42aa,,
다라00ab42ab,,
다라00ab42ba,,
다라00ba37bb,,
다라00ba38aa,,
다라00ba38ab,,
다라00ba38ba,,
다라00ba38bb,,
다라00ba39aa,,
다라00ba39ab,,
다라00ba39ba,,
다라00ba39bb,,
다라00ba40aa,,
다라00ba40ab,,
다라00ba40ba,,
다라00ba40bb,N/A,0.0000000000000000000000000000000
다라00ba41aa,,
다라00ba41ab,,
다라00ba41ba,,
다라00ba41bb,,
다라00ba42aa,,
다라00ba42ab,,
다라00ba42ba,N/A,0.0000000000000000000000000000000
다라00ba42bb,,
다라00bb37bb,,
다라00bb38aa,,
다라00bb38ab,,
다라00bb38ba,,
다라00bb38bb,,
다라00bb39aa,,
다라00bb39ab,,
다라00bb39ba,,
다라00bb39bb,,
다라00bb40aa,"8.00",8.0000000000000000000000000000000
다라00bb40ab,N/A,0.0000000000000000000000000000000
다라00bb40ba,,
다라00bb40bb,,
다라00bb41aa,,
다라00bb41ab,,
다라00bb41ba,,
다라00bb41bb,,
다라00bb42aa,,
다라00bb42ab,,
다라00bb42ba,,
다라00bb42bb,,
다라01aa37bb,,
다라01aa38aa,,
다라01aa39aa,,
다라01aa39ab,,
다라01aa39ba,,
다라01aa39bb,,
다라01aa40aa,N/A,0.0000000000000000000000000000000
다라01aa40ab,N/A,0.0000000000000000000000000000000
다라01aa40ba,N/A,0.0000000000000000000000000000000
다라01aa40bb,,
다라01aa41aa,,
다라01aa41ab,,
다라01aa41ba,,
다라01aa41bb,,
다라01aa42aa,,
다라01aa42ab,,
다라01aa42ba,,
다라01aa42bb,,
다라01aa43aa,,
다라01ab37ba,,
다라01ab37bb,,
다라01ab38aa,,
다라01ab38ab,,
다라01ab38bb,,
다라01ab39aa,,
다라01ab39ab,,
다라01ab39ba,,
다라01ab39bb,N/A,0.0000000000000000000000000000000
다라01ab40aa,"6.00",6.0000000000000000000000000000000
다라01ab40ab,,
다라01ab40ba,,
다라01ab40bb,,
다라01ab41aa,,
다라01ab41ab,,
다라01ab41ba,,
다라01ab41bb,,
다라01ab42aa,,
다라01ab42ab,,
다라01ab42ba,,
다라01ab42bb,,
다라01ab43aa,,
다라01ba37bb,,
다라01ba38bb,,
다라01ba39ab,,
다라01ba39ba,,
다라01ba39bb,"10.00",9.9999999999999982236431605997495
다라01ba40aa,"9.00",9.0000000000000000000000000000000
다라01ba40ab,,
다라01ba40ba,,
다라01ba40bb,,
다라01ba41aa,,
다라01ba41ab,,
다라01ba41ba,N/A,0.0000000000000000000000000000000
다라01ba41bb,,
다라01ba42aa,,
