gid,lbl,val
가라88ab34ab,"21.00",21.0000000000000000000000000000000
가라88ab34ba,,
가라88ab34bb,,
가라88ab38aa,,
가라88ab38ab,,
가라88ab38ba,,
가라88ba33aa,,
가라88ba33ab,,
가라88ba33ba,,
가라88ba33bb,,
가라88ba34aa,,
가라88ba34ab,"23.00",23.0000000000000000000000000000000
가라88ba34ba,"33.00",33.0000000000000000000000000000000
가라88ba34bb,N/A,0.0000000000000000000000000000000
가라88ba35aa,,
가라88ba35ab,,
가라88ba35ba,,
가라88ba38aa,,
가라88bb33ab,,
가라88bb33ba,,
가라88bb34ab,,
가라88bb34ba,,
가라88bb34bb,,
가라88bb35aa,,
가라88bb35ab,,
가라88bb35ba,,
가라88bb35bb,,
가라88bb36aa,,
가라88bb36ab,,
가라89aa33ba,,
가라89aa34ab,,
가라89aa34ba,,
가라89aa34bb,,
가라89aa35aa,,
가라89aa35ab,,
가라89aa35ba,,
가라89aa35bb,,
가라89aa36aa,,
가라89aa36ab,,
가라89aa36ba,,
가라89aa38ba,,
가라89ab34aa,,
가라89ab34ab,,
가라89ab34ba,,
가라89ab34bb,,
가라89ab35aa,,
가라89ab35ab,,
가라89ab35ba,,
가라89ab35bb,,
가라89ab36aa,,
가라89ab36ab,,
가라89ab36ba,,
가라89ab36bb,,
가라89ab37aa,,
가라89ab37ab,,
가라89ab37ba,,
가라89ab37bb,,
가라89ab38bb,,
가라89ab39aa,,
가라89ab39ab,,
가라89ba34aa,,
가라89ba34ab,,
가라89ba34ba,,
가라89ba34bb,,
가라89ba35aa,,
가라89ba35ab,,
가라89ba35ba,,
가라89ba35bb,,
가라89ba36aa,,
가라89ba36ab,,
가라89ba36ba,,
가라89ba36bb,,
가라89ba37aa,"32.00",32.0000000000000000000000000000000
가라89ba37ab,,
가라89ba37ba,,
가라89ba37bb,,
가라89ba38aa,,
가라89ba38ab,,
가라89ba39aa,,
가라89bb34ba,,
가라89bb34bb,,
가라89bb35aa,,
가라89bb35ab,,
가라89bb35ba,,
가라89bb35bb,,
가라89bb36aa,,
가라89bb36ab,,
가라89bb36ba,,
가라89bb36bb,,
가라89bb37aa,,
가라89bb37ab,,
가라89bb37ba,,
가라89bb37bb,,
가라90aa35aa,,
가라90aa35ab,,
가라90aa35ba,,
가라90aa35bb,,
가라90aa36aa,,
가라90aa36ab,,
가라90aa36ba,,
가라90aa36bb,,
가라90aa37aa,,
가라90aa37ab,,
가라90aa37ba,,
가라90aa37bb,,
가라90ab35ba,,
가라90ab35bb,,
가라90ab36aa,,
가라90ab36ab,,
가라90ab36ba,,
가라90ab36bb,,
가라90ab37aa,,
가라90ab37ab,,
가라90ab37ba,,
가라90ab37bb,,
가라90ab38aa,,
가라90ba35bb,,
가라90ba36aa,,
가라90ba36ab,,
가라90ba36ba,,
가라90ba36bb,,
가라90ba37aa,,
가라90ba37ab,,
가라90ba37ba,,
가라90ba37bb,,
가라90bb36bb,,
가라90bb37aa,,
가라95bb05ba,,
가라95bb05bb,,
가라95bb06aa,,
가라95bb06bb,,
가라95bb07aa,,
가라96aa05aa,,
가라96aa05ab,,
가라96aa05ba,,
가라96aa05bb,,
가라96aa06aa,,
가라96aa06ab,,
