gid,lbl,val
다라90ba92aa,,
다라90ba92ab,,
다라90ba92ba,,
다라90ba92bb,,
다라90ba93aa,,
다라90ba93ab,,
다라90ba93ba,,
다라90ba95ab,,
다라90ba95ba,,
다라90ba95bb,,
다라90ba96aa,,
다라90ba96ab,,
다라90ba96ba,,
다라90ba96bb,,
다라90ba97aa,,
다라90ba97ab,,
다라90ba97ba,,
다라90ba97bb,,
다라90ba98aa,,
다라90ba98ab,,
다라90ba98ba,,
다라90ba98bb,,
다라90ba99aa,,
다라90ba99ab,N/A,0.0000000000000000000000000000000
다라90ba99ba,,
다라90ba99bb,,
다라90bb88ab,N/A,0.0000000000000000000000000000000
다라90bb88ba,,
다라90bb88bb,,
다라90bb89aa,,
다라90bb89ab,,
다라90bb89ba,,
다라90bb89bb,,
다라90bb90aa,,
다라90bb90ab,,
다라90bb90ba,,
다라90bb90bb,,
다라90bb91aa,,
다라90bb91ab,,
다라90bb91ba,,
다라90bb91bb,,
다라90bb92aa,,
다라90bb92ab,,
다라90bb92ba,,
다라90bb92bb,,
다라90bb93aa,,
다라90bb93ab,,
다라90bb93ba,,
다라90bb93bb,,
다라90bb94ab,,
다라90bb94ba,,
다라90bb94bb,,
다라90bb95aa,,
다라90bb95ab,,
다라90bb95ba,,
다라90bb95bb,,
다라90bb96aa,,
다라90bb96ab,,
다라90bb96ba,,
다라90bb96bb,N/A,0.0000000000000000000000000000000
다라90bb97aa,N/A,0.0000000000000000000000000000000
다라90bb97ab,,
다라90bb97ba,,
다라90bb97bb,,
다라90bb98aa,,
다라90bb98ab,,
다라90bb98ba,,
다라90bb98bb,"18.00",18.0000000000000000000000000000000
다라90bb99aa,,
다라90bb99ab,N/A,0.0000000000000000000000000000000
다라90bb99ba,,
다라90bb99bb,,
다라91aa88ab,N/A,0.0000000000000000000000000000000
다라91aa88ba,,
다라91aa88bb,,
다라91aa89aa,N/A,0.0000000000000000000000000000000
다라91aa89ab,,
다라91aa89ba,,
다라91aa89bb,,
다라91aa90aa,,
다라91aa90ab,,
다라91aa90ba,,
다라91aa90bb,,
