Longitude,Latitude,val
125.1271002,34.0524182,73.0
125.19414,34.6843768,109.0
125.378067,34.6783556,91.0
125.4103822,34.6450622,140.0
125.4444213,34.7368902,180.0
125.4637811,34.7306001,180.0
125.468706,34.6517001,14.0
125.4690635,34.2072271,32.0
125.8535213,34.6179853,62.0
125.9327628,34.7212122,528.0
125.954597,34.7031079,707.0
126.0084704,34.6128745,330.0
126.0170321,34.74189,66.0
126.0284706,35.0865244,89.0
126.0388578,34.5955545,403.0
126.0661081,34.8128368,164.0
126.0696647,34.678091,34.0
126.0884124,34.5847473,290.0
126.0922075,34.8217969,383.0
126.1038087,34.7000743,142.0
126.1071864,35.0864667,620.0
126.1074813,35.0864236,620.0
126.1145745,34.8289262,416.0
126.1413889,34.7845702,475.0
126.1465327,35.0139122,233.0
126.1474804,34.6403462,417.0
126.1522321,35.04333,150.0
126.1586569,35.0443317,160.0
126.1692453,34.6899183,224.0
126.1713417,35.0462731,230.0
126.1736014,35.0871691,330.0
126.174068,35.0767122,298.0
126.1774163,34.8856474,55.0
126.1791754,35.0962191,304.0
126.1831511,35.0358089,236.0
126.1859629,35.1022847,281.0
126.1876376,35.0835547,520.0
126.187695,35.100188,355.0
126.1900921,35.0226355,101.0
126.1902003,35.1394884,39.0
126.1906505,35.0354802,287.0
126.1910848,35.1405201,39.0
126.1913146,35.0986252,446.0
126.1971923,35.0927624,496.0
126.1996632,35.1066142,322.0
126.2037642,35.0901128,541.0
126.2039203,35.1153348,264.0
126.2079986,34.621501,60.0
126.2134337,34.9596949,94.0
126.2139466,35.099671,377.0
126.220781,35.0918545,391.0
126.2222404,34.9183156,67.0
126.2231692,35.0989359,283.0
126.2336572,35.0902672,262.0
126.2337926,34.9342374,67.0
126.2347146,35.0241636,132.0
126.2385174,34.9187275,54.0
126.2407397,35.0969119,142.0
126.2415662,34.8527555,284.0
126.2423003,35.0351994,313.0
126.2428314,34.9169675,54.0
126.2445974,34.850061,284.0
126.2448382,35.0504674,356.0
126.2455966,35.0562585,384.0
126.2492086,34.952552,38.0
126.2507273,35.0586283,340.0
126.2526923,35.0505682,339.0
126.2581125,34.9794746,86.0
126.2591935,35.0296692,267.0
126.2621132,34.9973294,86.0
126.2641585,34.9873063,86.0
126.2657893,34.843221,393.0
126.2673659,34.9812934,125.0
126.2673817,35.0356062,286.0
126.2694135,34.9766249,125.0
126.2695371,34.976943,125.0
126.2705327,34.8579651,468.0
126.2717004,34.8615799,498.0
126.2839443,34.8600119,726.0
126.2870363,34.9598884,104.0
126.2872457,34.9598724,104.0
126.2873325,34.9076351,88.0
126.2918986,34.9438907,78.0
126.2965087,34.8579353,734.0
126.3024731,34.906729,263.0
126.3035831,34.8763251,710.0
126.3039058,34.8730731,722.0
126.3256984,34.8990095,293.0
126.3300341,34.9010557,262.0
126.3321587,34.8946736,278.0
126.3383854,34.8984283,225.0
126.3385875,34.8518655,612.0
126.342134,34.8250103,261.0
126.3506495,34.8268422,268.0
126.3512779,34.8609977,271.0
126.3525474,34.8335723,330.0
126.3573674,34.8403877,371.0
126.3616687,34.8468201,380.0
126.3656896,34.8741429,101.0
126.3659823,34.8739999,101.0
126.3783188,35.1608809,261.0
