행정구역,주소1,주소2,주소3,섬이름,면적 (㎢),해안선(㎞),위도,경도
신안군,신안군,흑산면,가거도리,가거도,9.71,22,34.07135278,125.1166583
장흥군,장흥군,회진면,덕산리,노력도,0.935,7,34.45655278,126.9655056
광양시,광양시,태인동,,태인도(태안도),6.115,10.86,34.95080556,127.7543306
신안군,신안군,장산면,,장산도,25.23,35.2,34.642875,126.1484583
영광군,영광군,낙월면,임병리,대각씨도(대각시도),0.24,3,35.18424444,126.2101472
영광군,영광군,낙월면,각이리,대각이도,0.67,3.4,35.24671389,126.0957361
여수시,여수시,묘도동,,묘도,11.432,19.14,34.88210833,127.7180944
여수시,여수시,화정면,백야리,백야도,3.047,11.3,34.62088611,127.6393917
고흥군,고흥군,금산면,,거금도,64.765,69.32,34.46101389,127.165375
고흥군,고흥군,도양읍,소록리,소록도,3.742,12,34.51016667,127.1176806
고흥군,고흥군,도양읍,봉암리,하화도,0.067,6,34.49633056,127.1468472
보성군,보성군,벌교읍,장도리,장도,2.203,15.9,34.79139722,127.4567139
완도군,완도군,약산면,우두리,조약도(약산도),28.7,48.4,34.38294444,126.9099972
진도군,진도군,조도면,옥도리,옥도,1.161,7.9,34.35508056,126.0205778
진도군,진도군,진도읍,,진도,374.981,602.95,34.48632778,126.2635056
진도군,진도군,조도면,관매도리,관매도,4.006,20.41,34.23428333,126.0477944
진도군,진도군,의신면,모도리,모도,0.234,2.8,34.40676389,126.3548278
진도군,진도군,조도면,동거차도리,동거차도,2.634,13.13,34.237275,125.9419472
진도군,진도군,조도면,모도리,모도,0.231,3.21,34.28924444,125.9962222
진도군,진도군,조도면,청등도리,청등도,0.41,3.99,34.246075,126.0828611
진도군,진도군,조도면,,상조도,6.803,26.92,34.33004167,126.0501472
여수시,여수시,화정면,상화리,상화도,0.671,4.9,34.59975,127.6001389
완도군,완도군,소안면,,소안도,23.226,42,34.17454444,126.6511694
진도군,진도군,조도면,,하조도,17.008,41.38,34.29964167,126.0387611
진도군,진도군,의신면,구자도리,상구자도,0.059,3.5,34.32841667,126.3001306
진도군,진도군,조도면,성남도리,소성남도,0.264,3.06,34.39666944,126.0373139
진도군,진도군,조도면,가사도리,혈도,0.052,0.6,34.51582222,126.0877861
무안군,무안군,망운면,탄도리,탄도,0.502,5,35.00767778,126.3177806
광양시,광양시,금호동,,"금호도(쇠섬, 금도)",21.205,15.4,34.92289722,127.7406917
