fid,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,ringId,distance,NUMPOINTS
"39",전라남도,담양군,담양읍,내다 마을회관,전라남도 담양군 담양읍 삼다2리 380-2,35.3171951,126.9613646,100.3,2022/05/27,"1",1000.000000,0
"40",전라남도,담양군,담양읍,고가뫼 마을회관,전라남도 담양군 담양읍 가산1리 397-3,35.3204254,126.9818638,147.2,2022/05/27,"1",1000.000000,0
"41",전라남도,담양군,담양읍,회룡 마을회관,전라남도 담양군 담양읍 가산2리 808-7,35.3204254,126.9818638,98.47,2022/05/27,"1",1000.000000,0
"42",전라남도,담양군,봉산면,대추 마을회관,전라남도 봉산면 대추1리 1209-3,35.2762079,126.9569166,117.84,2022/05/27,"1",1000.000000,4
"43",전라남도,담양군,봉산면,도고 마을회관,전라남도 봉산면 대추2리 133-1,35.2762079,126.9569166,139.88,2022/05/27,"1",1000.000000,4
"44",전라남도,담양군,봉산면,곡정 마을회관,전라남도 봉산면 대추3리 98,35.2762079,126.9569166,107.97,2022/05/27,"1",1000.000000,4
"45",전라남도,담양군,봉산면,제월 마을회관,전라남도 봉산면 제월1리 178-3,35.2878055,126.9715784,381.2,2022/05/27,"1",1000.000000,0
"46",전라남도,담양군,봉산면,서봉 마을회관,전라남도 봉산면 제월2리 346,35.2892446,126.9743977,67.2,2022/05/27,"1",1000.000000,0
"47",전라남도,담양군,봉산면,마항 마을회관,전라남도 봉산면 제월3리 571,35.2889723,126.9748144,82.6,2022/05/27,"1",1000.000000,0
"48",전라남도,담양군,봉산면,신학 마을회관,전라남도 봉산면 신학1리 69,35.2762079,126.9569166,64.8,2022/05/27,"1",1000.000000,4
"49",전라남도,담양군,봉산면,학동 마을회관,전라남도 봉산면 신학2리 150,35.2762079,126.9569166,212,2022/05/27,"1",1000.000000,4
"50",전라남도,담양군,봉산면,탄금 마을회관,전라남도 봉산면 기곡1리 878-4,35.273049,126.973604,165.3,2022/05/27,"1",1000.000000,0
"51",전라남도,담양군,봉산면,방축 마을회관,전라남도 봉산면 기곡2리 730-3,35.273049,126.973604,77.62,2022/05/27,"1",1000.000000,0
"52",전라남도,담양군,봉산면,연산 마을회관,전라남도 봉산면 기곡3리 547,35.2749091,126.9655994,74.6,2022/05/27,"1",1000.000000,4
"53",전라남도,담양군,봉산면,상덕 마을회관,전라남도 봉산면 기곡4리 606-1,35.273049,126.973604,77.8,2022/05/27,"1",1000.000000,0
"54",전라남도,담양군,봉산면,송산 마을회관,전라남도 봉산면 기곡5리 167,35.273049,126.973604,96.03,2022/05/27,"1",1000.000000,0
"55",전라남도,담양군,봉산면,연동 마을회관,전라남도 봉산면 연동1리 291,34.7934969,126.3897233,155.64,2022/05/27,"1",1000.000000,0
"56",전라남도,담양군,봉산면,죽림 마을회관,전라남도 봉산면 연동2리 64,35.2762079,126.9569166,89.57,2022/05/27,"1",1000.000000,4
"57",전라남도,담양군,봉산면,유산 마을회관,전라남도 봉산면 유산1리 442-1,35.2762079,126.9569166,99.9,2022/05/27,"1",1000.000000,4
"58",전라남도,담양군,봉산면,마산 마을회관,전라남도 봉산면 유산2리 263,35.2762079,126.9569166,92.04,2022/05/27,"1",1000.000000,4
"59",전라남도,담양군,봉산면,양지 마을회관,전라남도 봉산면 양지리 593,35.2546525,126.9385287,235,2022/05/27,"1",1000.000000,10
"60",전라남도,담양군,봉산면,월전 마을회관,전라남도 봉산면 양지2리 482-1,34.8679,126.991,73.5,2022/05/27,"1",1000.000000,0
"61",전라남도,담양군,봉산면,와우 마을회관,전라남도 봉산면 와우1리 536-5,34.8679,126.991,156.05,2022/05/27,"1",1000.000000,0
"62",전라남도,담양군,봉산면,신평 마을회관,전라남도 봉산면 와우2리 486-5,34.8679,126.991,121.07,2022/05/27,"1",1000.000000,0
