fid,마을회관명,소재지도로명주소,Latitude,Longitude,회원수,대표자,대지면적,건축면적,데이터기준일자,ringId,distance,NUMPOINTS
"45",주동,전라남도 신안군 지도읍 선도길 69,34.9812934,126.2673659,"35",박만복,966,85.65,2021/11/11,"1",1000.000000,0
"46",원동,전라남도 신안군 지도읍 봉리길 763-26,35.100188,126.187695,"25",남종민,252,65,2021/11/11,"1",1000.000000,11
"47",소감정,전라남도 신안군 지도읍 해제지도로 1501-8,35.0739382,126.1955137,"15",김학수,330,52.42,2021/11/11,"1",1000.000000,0
"48",포작,전라남도 신안군 지도읍 대포작길 69,35.1153348,126.2039203,"10",장일랑,357,50.47,2021/11/11,"1",1000.000000,1
"49",우전,전라남도 신안군 압해읍 회룡길 19,34.8763251,126.3035831,"43",조장성,330,114.98,2021/11/11,"1",1000.000000,4
"50",대천1(조천),전라남도 신안군 압해읍 조천길 36-27,34.8600119,126.2839443,"83",백춘웅,542,127.33,2021/11/11,"1",1000.000000,6
"51",신촌,전라남도 신안군 압해읍 회신길 28,34.8730731,126.3039058,"57",장재수,443,66.12,2021/11/11,"1",1000.000000,4
"52",반월,전라남도 신안군 압해읍 압해로 1352-1,34.8615799,126.2717004,"65",김재민,122,50,2021/11/11,"1",1000.000000,6
"53",신장2,전라남도 신안군 압해읍 수련의금길 22-8,34.8403877,126.3573674,"64",박채성,911,99.45,2021/11/11,"1",1000.000000,5
"54",광립,전라남도 신안군 압해읍 상광립길 12,34.8579353,126.2965087,"62",양상식,539,98.72,2021/11/11,"1",1000.000000,6
"55",수락,전라남도 신안군 압해읍 수락안길 16,34.843221,126.2657893,"62",권길용,661,70.05,2021/11/11,"1",1000.000000,2
"56",장감,전라남도 신안군 압해읍 장감길 120,34.8250103,126.342134,"51",이기철,321,102.51,2021/11/11,"1",1000.000000,3
"57",고이2,전라남도 신안군 압해읍 고이길 30,34.9598724,126.2872457,"34",김영배(총무),93,72.7,2021/11/11,"1",1000.000000,0
"58",송공2,전라남도 신안군 압해읍 대촌길 65-1,34.8527555,126.2415662,"56",조병열,127,70,2021/11/11,"1",1000.000000,6
"59",신장1,전라남도 신안군 압해읍 원신장길 31-11,34.8268422,126.3506495,"62",천용준,109,66.15,2021/11/11,"1",1000.000000,7
"60",신장3,전라남도 신안군 압해읍 아랫동길 9,34.8468201,126.3616687,"30",장두석,311,66.15,2021/11/11,"1",1000.000000,2
"61",동서2(구항),전라남도 신안군 압해읍 구항길 98-2,34.8571096,126.3154624,"62",전라견,125,56,2021/11/11,"1",1000.000000,0
"62",송공1,전라남도 신안군 압해읍 상촌길 4-11,34.850061,126.2445974,"50",최현진,311,99.8,2021/11/11,"1",1000.000000,4
"63",동서1,전라남도 신안군 압해읍 동서길 36-1,34.8674386,126.3049259,"42",유삼종,645,72.78,2021/11/11,"1",1000.000000,0
"64",원복용,전라남도 신안군 압해읍 복룡신대길 14-5,34.9010557,126.3300341,"61",김금실,235,85.46,2021/11/11,"1",1000.000000,5
"65",가룡2리(원가룡),전라남도 신안군 압해읍 원가룡길 24,34.906729,126.3024731,"51",김삼일,392,79.14,2021/11/11,"1",1000.000000,5
"66",대벌,전라남도 신안군 압해읍 대벌길 44-9,34.8579651,126.2705327,"56",서정석,321,124.15,2021/11/11,"1",1000.000000,7
"67",학동,전라남도 신안군 압해읍 학동길 53-1,34.8694361,126.3142059,"75",정택진,535,72.78,2021/11/11,"1",1000.000000,0
"68",복용4,전라남도 신안군 압해읍 중촌길 32,34.8984283,126.3383854,"43",전수경,285,92.55,2021/11/11,"1",1000.000000,3
"69",분매2,전라남도 신안군 압해읍 거룡길 36,34.8518655,126.3385875,"63",김기종,364,98.7,2021/11/11,"1",1000.000000,3
"70",고이1,전라남도 신안군 압해읍 왕산길 193-7,34.9438907,126.2918986,"19",박예순,238,84.78,2021/11/11,"1",1000.000000,0
"71",복룡3,전라남도 신안군 압해읍 남세촌길 69,34.8946736,126.3321587,"68",정민환,642,82.53,2021/11/11,"1",1000.000000,4
"72",산두,전라남도 신안군 압해읍 매화길 296-19,34.9342374,126.2337926,"51",김명근,634,83.9,2021/11/11,"1",1000.000000,0
"73",청석,전라남도 신안군 압해읍 매화길 946-1,34.9183156,126.2222404,"34",박차랑,330,83.9,2021/11/11,"1",1000.000000,0
"74",대동(매화1),전라남도 신안군 압해읍 대동길 24,34.9187275,126.2385174,"24",서명석,365,83.9,2021/11/11,"1",1000.000000,0
"75",가룡3,전라남도 신안군 압해읍 가룡길 404,34.9076351,126.2873325,"52",김신조,330,89.85,2021/11/11,"1",1000.000000,1
"76",복룡2,전라남도 신안군 압해읍 복룡신대길 92,34.8990095,126.3256984,"67",김석균,269,91.92,2021/11/11,"1",1000.000000,4
"77",가란,전라남도 신안군 압해읍 가란길 165-2,34.8741429,126.3656896,"27",김학진,264,105.21,2021/11/11,"1",1000.000000,0
"78",숭의,전라남도 신안군 압해읍 두지숭의길 135-6,34.8609977,126.3512779,"39",김복수,231,90.63,2021/11/11,"1",1000.000000,3
"79",마산,전라남도 신안군 압해읍 마산길 2-1,34.952552,126.2492086,"24",전대옥,297,81.55,2021/11/11,"1",1000.000000,0
"80",효지,전라남도 신안군 압해읍 압해효지길 51-5,,,"24",박진우,1385,84,2021/11/11,"1",1000.000000,0
"81",분매1,전라남도 신안군 압해읍 용강길 28-2,,,"74",이산하,394,85.05,2021/11/11,"1",1000.000000,0
"82",월포,전라남도 신안군 압해읍 월포안길 50-6,,,"71",이진익,401,93,2021/11/11,"1",1000.000000,0
"83",신흥,전라남도 신안군 압해읍 복룡로 568-24,,,"18",전용,18,49.68,2021/11/11,"1",1000.000000,0
"84",분매3,전라남도 신안군 압해읍 상장천큰골길 16,,,"59",박월성,417,88.01,2021/11/11,"1",1000.000000,0
"85",금기,전라남도 신안군 압해읍 가룡길 193-16,,,"30",정명옥,231,59.64,2021/11/11,"1",1000.000000,0
"86",무학,전라남도 신안군 압해읍 무학길 113,,,"33",김상구,255,59.64,2021/11/11,"1",1000.000000,0
"87",구항2,전라남도 신안군 압해읍 구항길 159-1,,,"55",김순식,262,50.4,2021/11/11,"1",1000.000000,0
"88",신용1,전라남도 신안군 압해읍 회룡길 51,,,"40",양부성,282,82.98,2021/11/11,"1",1000.000000,0
"89",사동,전라남도 신안군 압해읍 고이길 40-19,,,"15",박성대,183,49.83,2021/11/11,"1",1000.000000,0
"90",노송,전라남도 신안군 증도면  증도중앙길 10,,,"20",이석범,274,85.7,2021/11/11,"1",1000.000000,0
"91",병풍,전라남도 신안군 증도면 병풍1길 64-5,,,"69",조희웅,284,90,2021/11/11,"1",1000.000000,0
"92",증북,전라남도 신안군 증도면 증도중앙길 6,,,"41",서경준,417,72,2021/11/11,"1",1000.000000,0
"93",우전,전라남도 신안군 증도면 지도증도로 1797-1,,,"75",조성육,241,78.3,2021/11/11,"1",1000.000000,0
"94",장고,전라남도 신안군 증도면 증도장고길 25,,,"83",이인기,238,81.29,2021/11/11,"1",1000.000000,0
"95",곡도,전라남도 신안군 증도면 곡도길 20,,,"23",김태균,660,113.82,2021/11/11,"1",1000.000000,0
"96",대초,전라남도 신안군 증도면 대초길 1,,,"48",조영택,348,82.6,2021/11/11,"1",1000.000000,0
"97",오산,전라남도 신안군 증도면 보물섬길 117-3,,,"26",이부갑,406,162.3,2021/11/11,"1",1000.000000,0
"98",염산,전라남도 신안군 증도면 염산1길 262-1,,,"24",안윤옥,342,71.16,2021/11/11,"1",1000.000000,0
"99",광암,전라남도 신안군 증도면 지도증도로 808,,,"25",김용진,272,72.48,2021/11/11,"1",1000.000000,0
"100",원방축,전라남도 신안군 증도면 해양관광길 108-4,,,"27",박동윤,666,93.95,2021/11/11,"1",1000.000000,0
"101",덕정,전라남도 신안군 증도면 덕정길 14,,,"36",안승태,992,99.36,2021/11/11,"1",1000.000000,0
"102",기점,전라남도 신안군 증도면 기점길 8-22,,,"17",김홍용,902.07,252.17,2021/11/11,"1",1000.000000,0
"103",검산,전라남도 신안군 증도면 보물섬길 276,,,"18",이방춘,519,83.9,2021/11/11,"1",1000.000000,0
"104",증서,전라남도 신안군 증도면 증도중앙길 44,,,"52",이석록,204,65.52,2021/11/11,"1",1000.000000,0
"105",등선,전라남도 신안군 증도면 등선길 38,,,"23",정형용,344,87.88,2021/11/11,"1",1000.000000,0
"106",돌마지,전라남도 신안군 증도면 돌마지길 50,,,"16",정맹용,330,79.43,2021/11/11,"1",1000.000000,0
"107",증동,전라남도 신안군 증도면 증동길 20-2,,,"38",이석중,169,62.55,2021/11/11,"1",1000.000000,0
"108",장성동,전라남도 신안군 증도면 해양관광길 470-7,,,"12",양생기,330,76.3,2021/11/11,"1",1000.000000,0
"109",화도,전라남도 신안군 증도면 화도길 339,,,"18",박귀석,331,79.15,2021/11/11,"1",1000.000000,0
"110",남촌,전라남도 신안군 증도면 기점길 144-2,,,"16",오순종,168,42.92,2021/11/11,"1",1000.000000,0
"111",소악,전라남도 신안군 증도면 병풍리 산228-4,,,"11",박명출,1000,84.45,2021/11/11,"1",1000.000000,0
"112",보기,전라남도 신안군 증도면 병풍1길 305-10,,,"15",박향수,893,76.51,2021/11/11,"1",1000.000000,0
"113",진리,전라남도 신안군 임자면 진리길 46,,,"106",김해운,993.5,205.75,2021/11/11,"1",1000.000000,0
"114",회산,전라남도 신안군 임자면 대기리 2650-1,,,"45",김하종,228,76.95,2021/11/11,"1",1000.000000,0
"115",전장포,전라남도 신안군 임자면 전장포길 893-34,,,"66",박찬곤,132,72.36,2021/11/11,"1",1000.000000,0
"116",대기,전라남도 신안군 임자면 한틀길 149-8,,,"58",강대권,496,72.54,2021/11/11,"1",1000.000000,0
"117",삼두,전라남도 신안군 임자면 삼두길 81-1,,,"45",노춘금,528,68,2021/11/11,"1",1000.000000,0
"118",필길,전라남도 신안군 임자면 임자서길 686-3,,,"17",진상갑,660,67,2021/11/11,"1",1000.000000,0
"119",육암(이흑암),전라남도 신안군 임자면 이흑암길 303,,,"97",정정선,661,77.54,2021/11/11,"1",1000.000000,0
"120",삼막,전라남도 신안군 임자면 삼막길 110-1,,,"27",김철상,228,66,2021/11/11,"1",1000.000000,0
"121",수도,전라남도 신안군 임자면 수도길 41-11,,,"10",임권택,1178,137.17,2021/11/11,"1",1000.000000,0
"122",도찬,전라남도 신안군 임자면 도찬길 88-4,,,"46",이석례,409,61.54,2021/11/11,"1",1000.000000,0
"123",재원,전라남도 신안군 임자면 재원길 23-9,,,"20",기종도,160,61.54,2021/11/11,"1",1000.000000,0
"124",화산,전라남도 신안군 임자면 임자서길 147-27,,,"45",박형봉,241,73,2021/11/11,"1",1000.000000,0
"125",대흥,전라남도 신안군 임자면 한틀길 184-4,,,"48",오종국,218,86.06,2021/11/11,"1",1000.000000,0
"126",구산,전라남도 신안군 임자면 구산길 91,,,"22",남동희,701,84.15,2021/11/11,"1",1000.000000,0
"127",장동,전라남도 신안군 임자면 장동길 33-8,,,"38",박철성,400,84,2021/11/11,"1",1000.000000,0
"128",광산,전라남도 신안군 임자면 임자로 556,,,"39",임성만,340,84.15,2021/11/11,"1",1000.000000,0
"129",괘길,전라남도 신안군 임자면 괘길2길 9,,,"45",정창남,360,63.2,2021/11/11,"1",1000.000000,0
"130",조삼,전라남도 신안군 임자면 이흑암길 102-3,,,"26",강배수,962,59.23,2021/11/11,"1",1000.000000,0
"131",부동,전라남도 신안군 임자면 부동길 57-8,,,"36",김영록,360,57.12,2021/11/11,"1",1000.000000,0
"132",저동,전라남도 신안군 임자면 임자서길 456-3,,,"51",김영문,295,84.15,2021/11/11,"1",1000.000000,0
"133",교동,전라남도 신안군 임자면 임자로 216-14,,,"26",조무성,457,92,2021/11/11,"1",1000.000000,0
"134",신명,전라남도 신안군 임자면 신명동길 52,,,"22",이진용,432,86.4,2021/11/11,"1",1000.000000,0
"135",하우,전라남도 신안군 임자면 독우길 205,,,"22",임홍연,412,82.84,2021/11/11,"1",1000.000000,0
"136",원상,전라남도 신안군 임자면 임자서길 417-48,,,"10",권영택,608,93.24,2021/11/11,"1",1000.000000,0
"137",구영,전라남도 신안군 자은면 구영1길 32-2,,,"46",양권삼,165,100,2021/11/11,"1",1000.000000,0
"138",송산,전라남도 신안군 자은면  두봉길 681,,,"49",박석순,660,99.54,2021/11/11,"1",1000.000000,0
"139",고장,전라남도 신안군 자은면  고장길 19,,,"85",최선경,1240,139.35,2021/11/11,"1",1000.000000,0
"140",대율,전라남도 신안군 자은면  대율길 42,,,"24",김자술,442,67.05,2021/11/11,"1",1000.000000,0
"141",면전,전라남도 신안군 자은면  면전길 20,,,"49",최남주,225,98,2021/11/11,"1",1000.000000,0
"142",신성,전라남도 신안군 자은면  자은서부2길 473,,,"30",표이종,575,72,2021/11/11,"1",1000.000000,0
"143",진천,전라남도 신안군 자은면  진천길 56,,,"13",김용선,544,96.65,2021/11/11,"1",1000.000000,0
"144",백길,전라남도 신안군 자은면  백길안길 19,,,"36",김홍윤,562,89.71,2021/11/11,"1",1000.000000,0
"145",유천,전라남도 신안군 자은면  유천길 25,,,"32",김상용,165,65.25,2021/11/11,"1",1000.000000,0
"146",금포,전라남도 신안군 자은면  금포길 22,,,"23",조상기,190,82.3,2021/11/11,"1",1000.000000,0
"147",유각,전라남도 신안군 자은면  자은서부1길 33-2,,,"28",최재인,75,52,2021/11/11,"1",1000.000000,0
"148",백산,전라남도 신안군 자은면  자은서부1길 556-22,,,"24",배동춘,214,82.76,2021/11/11,"1",1000.000000,0
"149",외기,전라남도 신안군 자은면  외기길 76-1,,,"50",박경대,297,61.63,2021/11/11,"1",1000.000000,0
"150",신흥,전라남도 신안군 자은면  신흥동길 157,,,"16",김삼술,274,83.08,2021/11/11,"1",1000.000000,0
"151",둔장,전라남도 신안군 자은면  둔장길 34,,,"32",이남섭,414,82.5,2021/11/11,"1",1000.000000,0
"152",문평,전라남도 신안군 자은면  문평길 29,,,"22",안남일,608,99.95,2021/11/11,"1",1000.000000,0
"153",욕지,전라남도 신안군 자은면  욕지도길 127,,,"17",안영조,277,55.2,2021/11/11,"1",1000.000000,0
"154",한운,전라남도 신안군 자은면  한운길 81,,,"25",최정길,461,81,2021/11/11,"1",1000.000000,0
"155",두모,전라남도 신안군 자은면  두모길 38,,,"21",김임동,208,82.6,2021/11/11,"1",1000.000000,0
"156",장고,전라남도 신안군 자은면  자은서부2길 115,,,"47",장행남,1133,87,2021/11/11,"1",1000.000000,0
"157",분계,전라남도 신안군 자은면  자은서부2길 636,,,"14",김송례,688,92.25,2021/11/11,"1",1000.000000,0
"158",와우,전라남도 신안군 자은면  자은서부2길 267,,,"38",표문철,660,92.25,2021/11/11,"1",1000.000000,0
"159",창촌,전라남도 신안군 자은면  두봉길 157,,,"20",박치민,370,92.25,2021/11/11,"1",1000.000000,0
"160",고교,전라남도 신안군 자은면  자은고교길 37,,,"15",성기판,647,89.7,2021/11/11,"1",1000.000000,0
"161",구래,전라남도 신안군 자은면  자은서부1길 382-95,,,"10",오병순,571,79.89,2021/11/11,"1",1000.000000,0
"162",대율여성,전라남도 신안군 자은면  대율길 49,,,"32",서정월,467,122.57,2021/11/11,"1",1000.000000,0
"163",구영여성,전라남도 신안군 자은면  구영1길 33,,,"60",최재덕,228,84.53,2021/11/11,"1",1000.000000,0
"164",백산(밀알),전라남도 신안군 자은면  자은서부1길 611-29,,,"17",배진범,321,81.7,2021/11/11,"1",1000.000000,0
"165",도고,전라남도 신안군 비금면 비금북부길 965-24,,,"51",이항식,971,76,2021/11/11,"1",1000.000000,0
"166",상암,전라남도 신안군 비금면 상바우길 13,,,"28",김래성,489,144,2021/11/11,"1",1000.000000,0
"167",외촌,전라남도 신안군 비금면 외촌길 26,,,"29",정용완,804,100.74,2021/11/11,"1",1000.000000,0
"168",신유,전라남도 신안군 비금면 비금북부길 529,,,"38",유귀영,148,76,2021/11/11,"1",1000.000000,0
"169",내촌,전라남도 신안군 비금면 비금서부길 324,,,"50",권영철,485,99.36,2021/11/11,"1",1000.000000,0
"170",수림,전라남도 신안군 비금면 수림길 76,,,"45",손득산,1041,99,2021/11/11,"1",1000.000000,0
"171",당산,전라남도 신안군 비금면 당산길 6,,,"43",문장철,562,88.76,2021/11/11,"1",1000.000000,0
"172",월포,전라남도 신안군 비금면 비금월포길 64,,,"21",황재민,479,79.2,2021/11/11,"1",1000.000000,0
"173",우산,전라남도 신안군 비금면 비금북부길 790-4,,,"24",명진동,660,109.74,2021/11/11,"1",1000.000000,0
"174",서산,전라남도 신안군 비금면 서산길 100-4,,,"32",황억순,202,91,2021/11/11,"1",1000.000000,0
"175",지동,전라남도 신안군 비금면 지동길 51,,,"38",명영기,305,71.56,2021/11/11,"1",1000.000000,0
"176",원평,전라남도 신안군 비금면 원평길 68-1,,,"42",김영채,192,61.54,2021/11/11,"1",1000.000000,0
"177",가출,전라남도 신안군 비금면 서남문로 120,,,"32",양인섭,250,84.17,2021/11/11,"1",1000.000000,0
"178",광대,전라남도 신안군 비금면 광대길 97,,,"35",김주성,89.79,66.44,2021/11/11,"1",1000.000000,0
"179",용소,전라남도 신안군 비금면 용소길 167,,,"41",장종철,598,107.88,2021/11/11,"1",1000.000000,0
"180",신촌,전라남도 신안군 비금면 신촌길 27-2,,,"30",윤정철,341,82.6,2021/11/11,"1",1000.000000,0
"181",자항,전라남도 신안군 비금면 유우옥길 21-16,,,"15",황정술,314,82.5,2021/11/11,"1",1000.000000,0
"182",고막,전라남도 신안군 비금면 고막길 74,,,"28",박춘산,377,114.98,2021/11/11,"1",1000.000000,0
"183",임리,전라남도 신안군 비금면 임리길 43,,,"24",김화산,350,82.8,2021/11/11,"1",1000.000000,0
"184",한산,전라남도 신안군 비금면 한산길 84,,,"32",박기원,330,83.52,2021/11/11,"1",1000.000000,0
"185",용호,전라남도 신안군 비금면 비금북부길 387-2,,,"16",김선출,360,81.93,2021/11/11,"1",1000.000000,0
"186",수도,전라남도 신안군 비금면 비금수도길 60,,,"35",이필용,466,83.52,2021/11/11,"1",1000.000000,0
"187",나배,전라남도 신안군 비금면 대장군길 6,,,"18",양갑수,987,88.2,2021/11/11,"1",1000.000000,0
"188",당두,전라남도 신안군 비금면 첫마을길 111-2,,,"17",김창복,513,81.93,2021/11/11,"1",1000.000000,0
"189",평림,전라남도 신안군 비금면 원평해수욕장길 20-8,,,"42",조여동,533,79.65,2021/11/11,"1",1000.000000,0
"190",송치,전라남도 신안군 비금면 송치길 155-2,,,"27",김진옥,320,81.9,2021/11/11,"1",1000.000000,0
"191",덕대,전라남도 신안군 비금면 읍동길 47-21,,,"24",김이철,353,90.15,2021/11/11,"1",1000.000000,0
"192",망동,전라남도 신안군 비금면 망동길 55-6,,,"25",김용철,407,96.64,2021/11/11,"1",1000.000000,0
"193",대두,전라남도 신안군 비금면 대두길 118,,,"24",전주산,172,67.59,2021/11/11,"1",1000.000000,0
"194",읍동,전라남도 신안군 비금면 비금북부길 6,,,"46",김연철,660,204.3,2021/11/11,"1",1000.000000,0
"195",수치,전라남도 신안군 비금면 수치도길 225-24,,,"43",박영하,571,98,2021/11/11,"1",1000.000000,0
"196",내포,전라남도 신안군 비금면 가는목길 94,,,"20",황춘호,266,82.5,2021/11/11,"1",1000.000000,0
"197",구기,전라남도 신안군 비금면 구기길 64-1,,,"22",김평송,301,115.32,2021/11/11,"1",1000.000000,0
"198",죽치,전라남도 신안군 비금면 죽치길 60,,,"47",김덕오,235,87.77,2021/11/11,"1",1000.000000,0
"199",가어지,전라남도 신안군 비금면 수치도길 43,,,"16",최명출,661,98,2021/11/11,"1",1000.000000,0
"200",도고 여성,전라남도 신안군 비금면 도고길 96,,,"62",김순임,440,81.55,2021/11/11,"1",1000.000000,0
"201",용소여성,전라남도 신안군 비금면  용소길 237,,,"61",박미덕,671,96.4,2021/11/11,"1",1000.000000,0
"202",화도,전라남도 신안군 도초면  도초북길 42,,,"83",조남채,220,120.6,2021/11/11,"1",1000.000000,0
"203",라포,전라남도 신안군 도초면 라포길 5,,,"43",김병용,314,64.02,2021/11/11,"1",1000.000000,0
"204",죽련,전라남도 신안군 도초면 죽련길 27-2,,,"37",고강하,406,124.82,2021/11/11,"1",1000.000000,0
"205",지동,전라남도 신안군 도초면 지남리 731-1,,,"41",김만식,1478,92.64,2021/11/11,"1",1000.000000,0
"206",고란,전라남도 신안군 도초면 고란길 184,,,"60",황송웅,682,131.07,2021/11/11,"1",1000.000000,0
"207",이곡(이상),전라남도 신안군 도초면 이곡길 7-1,,,"38",김민석,1194.5,145.2,2021/11/11,"1",1000.000000,0
"208",월포,전라남도 신안군 도초면 도초월포길 120,,,"27",전인옥,400,85.92,2021/11/11,"1",1000.000000,0
"209",한발,전라남도 신안군 도초면 도초동부길 175,,,"41",임금빈,520,99.09,2021/11/11,"1",1000.000000,0
"210",우이도진리,전라남도 신안군 도초면 우이진리길 38,,,"32",문수홍,228,61.9,2021/11/11,"1",1000.000000,0
"211",신촌,전라남도 신안군 도초면 서남문로 1376,,,"23",고춘남,302,62.38,2021/11/11,"1",1000.000000,0
"212",도락,전라남도 신안군 도초면 김영춘길 32,,,"31",황종헌,502,97.65,2021/11/11,"1",1000.000000,0
"213",수항,전라남도 신안군 도초면 시목길 28-7,,,"58",문철옥,367,69.36,2021/11/11,"1",1000.000000,0
