,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
18715,TSB332000163,석수포,1.0,N,Seok Su Po,34.504677,127.375989,2021/09/16 04:01:26,3320163.0,36350,고흥군
18716,TSB332000164,중산,1.0,N,Jung San,34.504677,127.342697,2021/09/16 04:01:26,3320164.0,36350,고흥군
18717,TSB332000165,중산,1.0,N,Jung San,34.504704,127.342437,2021/09/16 04:01:26,3320165.0,36350,고흥군
18718,TSB332000166,황촌,1.0,N,Hwang Chon,34.504829,127.283924,2021/09/16 04:01:26,3320166.0,36350,고흥군
18719,TSB332000167,지등,1.0,N,Ji Deung,34.504872,127.299174,2021/09/16 04:01:26,3320167.0,36350,고흥군
18720,TSB332000168,황촌,1.0,N,Hwang Chon,34.504954,127.283905,2021/09/16 04:01:26,3320168.0,36350,고흥군
18721,TSB332000169,지등,1.0,N,Ji Deung,34.505019,127.299331,2021/09/16 04:01:26,3320169.0,36350,고흥군
18722,TSB332000170,봉산,1.0,N,Bong San,34.506494,127.357598,2021/09/16 04:01:26,3320170.0,36350,고흥군
18723,TSB332000171,봉산,1.0,N,Bong San,34.506602,127.357611,2021/09/16 04:01:26,3320171.0,36350,고흥군
18724,TSB332000172,여의천,1.0,N,Yeo Ui Cheon,34.506882,127.275923,2021/09/16 04:01:26,3320172.0,36350,고흥군
18725,TSB332000173,여의천,1.0,N,Yeo Ui Cheon,34.506936,127.276098,2021/09/16 04:01:26,3320173.0,36350,고흥군
18726,TSB332000174,당곤,1.0,N,Dang Gon,34.507076,127.327884,2021/09/16 04:01:26,3320174.0,36350,고흥군
18727,TSB332000175,서오치,1.0,N,Seo O Chi,34.507125,127.314137,2021/09/16 04:01:26,3320175.0,36350,고흥군
18728,TSB332000176,당곤,1.0,N,Dang Gon,34.507184,127.327934,2021/09/16 04:01:26,3320176.0,36350,고흥군
18729,TSB332000177,서오치,1.0,N,Seo O Chi,34.50725,127.314176,2021/09/16 04:01:26,3320177.0,36350,고흥군
18730,TSB332000178,당오리,1.0,N,Dang O Ri,34.508394,127.321625,2021/09/16 04:01:26,3320178.0,36350,고흥군
18731,TSB332000179,신오치,1.0,N,Sin O Chi,34.508627,127.323235,2021/09/16 04:01:26,3320179.0,36350,고흥군
18732,TSB332000180,당오리,1.0,N,Dang O Ri,34.508654,127.321449,2021/09/16 04:01:26,3320180.0,36350,고흥군
18733,TSB332000181,신오치,1.0,N,Sin O Chi,34.50869,127.323312,2021/09/16 04:01:26,3320181.0,36350,고흥군
18734,TSB332000182,도화터미널,1.0,N,Do Hwa Teo Mi Neol,34.508988,127.317732,2021/09/16 04:01:26,3320182.0,36350,고흥군
