마을회관명,소재지(주소),건축년도,층수,구조,연면적(㎡)
아동 마을회관,전라북도 동계면 아동길 117,1997,1,적벽돌,99
오동 마을회관,전라북도 동계면 오동길 20-2,2001,1,적벽돌,86.4
관전 마을회관,전라북도 동계면 관전길 27-3,1997,1,목조,79.2
신관전 마을회관,전라북도 동계면 신관전길 16,2000,1,연와조,87.84
신흥 마을회관,전라북도 동계면 성전길 29,2010,1,적벽돌,96
장동 마을회관,전라북도 동계면 장동길 15-2,1998,1,연와조,77.2
유산 마을회관,전라북도 동계면 유산길 40-2,1986,1,목조,89.2
이동 마을회관,전라북도 동계면 이동길 47-2,1999,1,연와조,107.31
장항 마을회관,전라북도 동계면 장항1길 11,1998,1,시멘트벽돌,56
수정 마을회관,전라북도 동계면 수정3길 1,2000,1,적벽돌,60
석산 마을회관,전라북도 동계면 수정1길 3-6,2006,1,철근콘크리트,77.58
주월 마을회관,전라북도 동계면 주월길 192,2000,1,적벽돌,91.05
내령 마을회관,전라북도 동계면 내령길 73-20,1997,1,연와조,99.2
강촌 마을회관,전라북도 동계면 강촌길 17,1996,1,시멘트벽돌,56.1
상외령 마을회관,전라북도 동계면 수장3길 22-5,2001,1,시멘트벽돌,158.73
하외령 마을회관,전라북도 동계면 수장2길 2,2002,1,시멘트벽돌,66
수장 마을회관,전라북도 동계면 수장1길 96,1998,1,연와조,83.7
가작 마을회관,전라북도 동계면 가작길 26,2001,1,연와조,84.2
지북 마을회관,전라북도 적성면 지북길 48,1997,1,시멘트벽돌/슬라브,98.8
대산 마을회관,전라북도 적성면 대산길 7,1972,1,블록/스레이트,37.7
임동 마을회관,전라북도 적성면 임동길 132-3,2002,1,조적조/슬라브,117
율지 마을회관,전라북도 적성면 율지길 133,1998,1,적벽돌,89.76
관평 마을회관,전라북도 적성면 관평길 7,2002,1,조적조/슬라브,84.37
원촌 마을회관,전라북도 적성면 원촌길 1,1996,1,적벽돌/슬라브,96
지내 마을회관,전라북도 적성면 지모길 14,2002,1,조적조/슬라브,60
모산 마을회관,전라북도 적성면 지모길 50-6,1977,1,시멘트벽돌/슬라브,68.4
우계 마을회관,전라북도 적성면 우계길 49,1995,1,슬라브,66
시목 마을회관,전라북도 적성면 시목길 25-2,2001,1,조적조/슬라브,81.42
내적 마을회관,전라북도 적성면 내적길 67-16,1998,1,벽돌구조/슬라브,106.28
농소 마을회관,전라북도 적성면 농소길 51-4,1998,1,슬라브,66.75
평남 마을회관,전라북도 적성면 평남길 14,1997,1,시멘트벽돌/슬라브,94.65
구남 마을회관,전라북도 적성면 평남길 106-3,2004,1,적벽돌구조,85.39
괴정 마을회관,전라북도 적성면 괴정길 61-1,1998,1,적벽돌/슬라브,108
신월 마을회관,전라북도 적성면 신월길 45-1,2002,1,철큰콘크리트/슬라브,118.83
입석 마을회관,전라북도 적성면 석산길 79,2004,1,벽돌구조,87.4
강경 마을회관,전라북도 적성면 강경길 159-4,1998,1,연와조/슬라브,66.75
창신 마을회관,전라북도 유등면 창신길 19-4,1988,2,블록구조,215.79
정동 마을회관,전라북도 유등면 정동마을길 59,1995,1,조적조,70.5
건곡 마을회관,전라북도 유등면 건곡3길 5,1974,2,조적조,61.4
학촌 마을회관,전라북도 유등면 학촌2길 7-2,1958,1,연와조,99.18
금판 마을회관,전라북도 유등면 금판길 4,1995,1,벽돌구조,45.91
외이 마을회관,전라북도 유등면 외이3길 32,1987,1,연와조슬라브,94.03
내이 마을회관,전라북도 유등면 내이길 20-1,1986,1,목조기와,115.14
오교 마을회관,전라북도 유등면 오교1길 3-1,1994,1,시멘트벽돌조,48.6
유촌 마을회관,전라북도 유등면 유촌1길 38,2003,1,벽돌구조,104.16
유천 마을회관,전라북도 유등면 유천길 1,1992,2,세멘블럭,116
책암 마을회관,전라북도 유등면 책암길 29-1,1994,1,블록구조,39.48
무수 마을회관,전라북도 유등면 무수길 35-9,2008,1,블록구조,51.3
화탄 마을회관,전라북도 유등면 화탄길 13,2002,1,조적조,85.91
월탄 마을회관,전라북도 유등면 월탄2길 1,2002,1,벽돌구조,107.32
월산 마을회관,전라북도 풍산면 월산길 17,1997,2,벽돌구조,192.37
월명 마을회관,전라북도 풍산면 월명길 69-4,2004,1,벽돌구조,88.8
유정 마을회관,전라북도 풍산면 유정길 64,2005,1,철근콘크리트,91.38
회덕 마을회관,전라북도 풍산면 회덕길 37-3,2006,1,벽돌구조,106.05
함촌 마을회관,전라북도 풍산면 함촌길 18,1979,1,시멘트블럭조,66.12
순정 마을회관,전라북도 풍산면 금풍로 545-12,1977,1,조적조,66.1
도치 마을회관,전라북도 풍산면 삼촌1길 125,2002,1,시멘트블럭조,68.76
소촌 마을회관,전라북도 풍산면 삼촌2길 144,1999,1,적벽돌/스라브,83.91
가덕 마을회관,전라북도 풍산면 삼촌3길 52-1,2001,1,벽돌구조,86
송두 마을회관,전라북도 풍산면 삼촌2길 33-5,2008,1,벽돌구조,86.4
안곡 마을회관,전라북도 풍산면 안곡길 36,2012,1,조적조,84.96
호성 마을회관,전라북도 풍산면 호성길 62-1,2001,1,적벽돌/스라브,92
덕산 마을회관,전라북도 풍산면 덕산길 29-12,1973,1,조적조,76.35
죽전 마을회관,전라북도 풍산면 죽전길 25-4,2005,2,벽돌/슬라브,77.52
우곡 마을회관,전라북도 풍산면 우곡길 8,1998,1,벽돌/슬라브,77.46
한사 마을회관,전라북도 풍산면 한사길 30-19,1997,1,벽돌/슬라브,93.75
지내 마을회관,전라북도 풍산면 지내길 34-1,1997,1,벽돌/슬라브,81.715
대가 마을회관,전라북도 풍산면 대가2길 25-3,1997,1,벽돌/슬라브,75.76
오산 마을회관,전라북도 풍산면 대가2길 22,1998,1,벽돌/슬라브,81.77
향가 마을회관,전라북도 풍산면 향가로 574-7,2000,1,작별돌조,65.38
두지 마을회관,전라북도 풍산면 두승1길 7,1998,1,벽돌구조,85.7
승입 마을회관,전라북도 풍산면 두승2길 24,1998,1,조적조,80.36
상촌 마을회관,전라북도 풍산면 상촌2길 7,1984,1,벽돌구조,196.46
용내 마을회관,전라북도 풍산면 용내길 32-1,2004,1,벽돌구조,94.1
상죽 마을회관,전라북도 풍산면 죽곡2길 43,1998,1,벽돌구조,86.47
하죽 마을회관,전라북도 풍산면 죽곡1길 29,1997,1,벽돌구조,99.48
수양 마을회관,전라북도 금과면 수양길 19-4,1985,1,벽돌스라브,82.96
수양 마을회관,전라북도 금과면 수양길 13,1998,1,블록스레트,72.7
발산 마을회관,전라북도 금과면 발산길 83,1987,1,벽돌스라브,63
발산 마을회관,전라북도 금과면 발산길 81,1907,1,벽돌스라브,63
내동 마을회관,전라북도 금과면 내동1길 5,1980,1,벽돌스라브,87.8
내동 마을회관,전라북도 금과면 내동1길 15,1903,1,적벽돌조스라브,86.25
연화 마을회관,전라북도 금과면 내동2길 24-2,1985,1,벽돌스라브,82
동전 마을회관,전라북도 금과면 동전길 34,1983,1,벽돌스라브,63.6
대장 마을회관,전라북도 금과면 대장길 29-2,1980,1,블록스레트,99.1
대장 마을회관,전라북도 금과면 대장길 29-2,1995,1,벽돌스라브,66
만촌 마을회관,전라북도 금과면 만촌길 21,1901,1,벽돌스라브,83
대성 마을회관,전라북도 금과면 대성길 6-2,1985,1,벽돌스라브,69.3
대각 마을회관,전라북도 금과면 대각길 23,1903,1,벽돌스라브,52.52
청용 마을회관,전라북도 금과면 청용길 9-1,1988,1,벽돌스라브,78
방성 마을회관,전라북도 금과면 방성길 39-2,1987,1,벽돌스라브,89.1
석촌  마을회관,전라북도 금과면 석촌길 2,1904,1,벽돌스라브,33.3
남계 마을회관,전라북도 금과면 남계길 41-2,1984,1,벽돌스라브,47.9
호치 마을회관,전라북도 금과면 호치길 36-1,1999,1,벽돌스라브,88.44
장장 마을회관,전라북도 금과면 장장2길 10,1988,1,벽돌스라브,86
일목 마을회관,전라북도 금과면 목동1길 8,1998,1,벽돌스라브,55.6
이목 마을회관,전라북도 금과면 목동2길 24,1992,1,벽돌스라브,86.25
계전 마을회관,전라북도 금과면 방계로 56,1902,1,벽돌스라브,48.4
신매우 마을회관,전라북도 금과면 신매우길 14,1901,1,벽돌스라브,67.6
매우 마을회관,전라북도 금과면 매우길 7,1985,1,벽돌스라브,66
매우 마을회관,전라북도 금과면 매우길 12,1905,1,벽돌스라브,68
밭매우 마을회관,전라북도 금과면 밭매우길 26,1985,1,벽돌스라브,66.1
방축 마을회관,전라북도 금과면 방축3길 22,1968,1,목조기와,429
방축 마을회관,전라북도 금과면 방축4길 15,1994,1,벽돌스라브,86.58
고례 마을회관,전라북도 금과면 고례길 48,1992,1,벽돌스라브,92.56
송정 마을회관,전라북도 금과면 송정길 45,1996,1,벽돌스라브,66
입석 마을회관,전라북도 팔덕면 입석길 21-1,1998,1,벽돌,84.7
신평 마을회관,전라북도 팔덕면 신평길 34-5,2009,1,철근콘크리트,101.54
신기 마을회관,전라북도 팔덕면 팔덕로 335-4,2001,1,조적조,97.2
구항 마을회관,전라북도 팔덕면 구항길 29-1,1998,1,벽돌,80.25
사정 마을회관,전라북도 팔덕면 용산길 24,1997,1,연와조,109.7
월곡 마을회관,전라북도 팔덕면 월곡1길 17-2,1996,1,벽돌,197.4
광암 마을회관,전라북도 팔덕면 광암마을길 30,1974,1,벽돌,71.6
태자 마을회관,전라북도 팔덕면 태자동길 7,2005,1,벽돌,61.75
청계 마을회관,전라북도 팔덕면 청계길 6-5,1998,1,벽돌,85.41
백암 마을회관,전라북도 팔덕면 백암길 32-15,2000,1,벽돌조,89.25
이목 마을회관,전라북도 팔덕면 이목골길 4,2000,1,벽돌,82.65
통천쌍통 마을회관,전라북도 팔덕면 통천로 82-3,1997,1,연와조,87.89
팔왕 마을회관,전라북도 팔덕면 팔왕길 77,2000,1,벽돌조,83.95
장재 마을회관,전라북도 팔덕면 장자터길 4-4,1998,1,벽돌,81.36
장안 마을회관,전라북도 팔덕면 평창길 24-4,2005,1,벽돌,92.4
동고 마을회관,전라북도 팔덕면 동구지길 31,1997,1,벽돌,89.1
평지 마을회관,전라북도 팔덕면 평지길 7-1,1998,1,벽돌,84.68
덕진 마을회관,전라북도 팔덕면 덕진길 14,2003,1,조적조,71.68
태촌 마을회관,전라북도 팔덕면 태촌길 6,1972,1,블록,116.5
용두 마을회관,전라북도 팔덕면 용두길 70,1997,1,연와조,92.72
서지 마을회관,전라북도 복흥면 서마리 768-21,2008,1,철근콘크리트,163.26
하마 마을회관,전라북도 복흥면 서마리 산24,1998,1,적벽돌/슬라브,103.88
화양 마을회관,전라북도 복흥면 화양리 129-9,2001,1,조적조/슬라브,82.68
동산 마을회관,전라북도 복흥면 동산리 277-6,1998,1,벽돌/슬라브,151.34
월성 마을회관,전라북도 복흥면 반월리 448-2,2000,1,벽돌/슬라브,99.76
자포 마을회관,전라북도 복흥면 반월리 362,2003,1,벽돌/경량철골,165.18
덕흥 마을회관,전라북도 복흥면 봉덕리 107-3,1998,1,벽돌,66.1
대가 마을회관,전라북도 복흥면 봉덕리 306-3,2008,1,시멘트블록,92.64
농암 마을회관,전라북도 복흥면 농암리 278-3,1996,1,브럭/스레트,66.1
용교 마을회관,전라북도 복흥면 지선리 257-2,2008,1,벽돌,55.72
명지 마을회관,전라북도 복흥면 지선리 353-1,2010,1,벽돌,83.66
강두 마을회관,전라북도 복흥면 금월리 223-1,1993,1,연와조,99.17
칠립 마을회관,전라북도 복흥면 금월리 344-1,2007,1,시멘트벽돌조,163.59
대각 마을회관,전라북도 복흥면 금월리 518,1996,1,적벽돌,89.78
어은 마을회관,전라북도 복흥면 어은리 579,1998,1,연와조,99.17
칠현 마을회관,전라북도 복흥면 대방리 385-2,2005,1,벽돌/일반목,103.14
용지 마을회관,전라북도 복흥면 대방리 281-1,2005,1,연와조,66.1
정동 마을회관,전라북도 복흥면 정산리 380-1,2007,1,목구조,99.17
비거 마을회관,전라북도 복흥면 정산리 271,2007,1,철근콘크리트,149.43
동서 마을회관,전라북도 복흥면 정산리 50-1,1995,1,적벽돌,102.6
산정 마을회관,전라북도 복흥면 산정리 283-2,2003,1,벽돌,66.1
율평 마을회관,전라북도 복흥면 주평리 215-16,2000,1,조적조/슬라브,69.56
송정 마을회관,전라북도 복흥면 주평리 312-7,1998,1,적벽돌,84.8
상송 마을회관,전라북도 복흥면 상송리 194-3,1998,1,연와조,85.6
중리 마을회관,전라북도 복흥면 하리 614-4,1995,1,적벽돌,68.2
사창 마을회관,전라북도 복흥면 하리 347-1,2000,1,벽돌구조,85.6
구산 마을회관,전라북도 복흥면 답동리 363-1,1998,1,적벽돌,126.4
신기 마을회관,전라북도 복흥면 답동리 326-11,1996,1,적벽돌,98.21
농곡 마을회관,전라북도 복흥면 답동리 270-1,2006,1,목조/스레트,51
비석 마을회관,전라북도 복흥면 답동리 136-1,1999,1,벽돌/슬라브,46.2
석보 마을회관,전라북도 복흥면 석보리 224-1,1998,1,적벽돌,89.6
방산 마을회관,전라북도 쌍치면 방산2길 9,2001,1,벽돌스라브,83.85
종곡 마을회관,전라북도 쌍치면 순정로 1253,2004,1,벽돌스라브,83.55
신성 마을회관,전라북도 쌍치면 신성길 33,2004,1,철근콘크리트,93.6
탕곡 마을회관,전라북도 쌍치면 탕곡길 25-16,2002,1,벽돌스라브,80
중안 마을회관,전라북도 쌍치면 점암길 12,2002,1,벽돌스라브,98.6
둔전 마을회관,전라북도 쌍치면 둔전길 29,2000,1,벽돌스라브,89.12
시산 마을회관,전라북도 쌍치면 시산길 34-1,1997,1,벽돌스라브,86.25
무동 마을회관,전라북도 쌍치면 무동실길 29,1998,1,벽돌스라브,96.77
원옥 마을회관,전라북도 쌍치면 옥산길 63,2002,1,조적조,84.39
만수 마을회관,전라북도 쌍치면 만수길 91,1997,1,벽돌스라브,83.6
종암 마을회관,전라북도 쌍치면 국사봉로 277,1998,1,벽돌스라브,84.51
부정 마을회관,전라북도 쌍치면 학선길 28-1,1995,1,벽돌스라브,82.5
오룡 마을회관,전라북도 쌍치면 국사봉로 523-18,2007,1,벽돌스라브,84
입신 마을회관,전라북도 쌍치면 국사봉로 649-4,1998,1,벽돌스라브,103.5
신도 마을회관,전라북도 쌍치면 도고길 71,1997,1,벽돌스라브,90
산수 마을회관,전라북도 쌍치면 산수동길 74,2004,1,벽돌스라브,86.8
보평 마을회관,전라북도 쌍치면 보평길 7-2,2002,1,조적조,86.25
금정 마을회관,전라북도 쌍치면 금정길 4-2,1996,1,조적조,70.68
석현 마을회관,전라북도 쌍치면 석현길 7-5,1997,1,벽돌스라브,90
양신 마을회관,전라북도 쌍치면 양사길 18-9,2003,1,조적조,84
전암 마을회관,전라북도 쌍치면 전암길 6,2005,1,벽돌스라브,99.45
삼암 마을회관,전라북도 쌍치면 삼암길 49,2000,1,벽돌스라브,84.15
금계1 마을회관,전라북도 쌍치면 쌍계로 29-37,2002,1,조적조,97.37
금계2 마을회관,전라북도 쌍치면 삽실길 28,1997,1,연와조,99.1
반계 마을회관,전라북도 쌍치면 반계길 17,1994,1,조적조,280
운암 마을회관,전라북도 쌍치면 운암길 92-1,2005,1,벽돌스라브,106.75
양촌 마을회관,전라북도 쌍치면 용전1길 53-6,1980,1,벽돌스라브,74
묵산 마을회관,전라북도 쌍치면 용전길 145,2004,1,조적조,99.87
삼장 마을회관,전라북도 쌍치면 삼장길 8-1,1976,1,블럭스라브,66
먹우실 마을회관,전라북도 쌍치면 먹우실길 41,2003,1,벽돌스라브,82.88
피노 마을회관,전라북도 쌍치면 피노길 25,1996,1,벽돌스라브,96.2
피노부녀 마을회관,전라북도 쌍치면 피노길 23-1,2011,1,벽돌스라브,84.75
내동 마을회관,전라북도 쌍치면 금성내동길 125-2,1997,1,벽돌스라브,100.2
신촌 마을회관,전라북도 쌍치면 금성내동길 13-1,2000,1,벽돌스라브,85.5
연산 마을회관,전라북도 운남리 210-1,1980,1,목조/토기와,95.1
운곡 마을회관,전라북도 운남리 902-3,2006,1,벽돌구조,87.65
남정 마을회관,전라북도 운남리 735-1,1979,1,벽돌/슬라브,322.9
봉곡 마을회관,전라북도 구암리 250-1,1998,1,연와,90
이암 마을회관,전라북도 구산리 555-1,1998,1,연와,84
마흥 마을회관,전라북도 구산리 386-2,2008,1,벽돌구조,73.99
회룡 마을회관,전라북도 성곡리 365-1,2006,1,일반목구조/기와,23.22
호곡 마을회관,전라북도 성곡리 145,2006,1,벽돌구조/철근콘크리트,75.63
오룡 마을회관,전라북도 성곡리 242-4,2004,1,벽돌,92.06
학현 마을회관,전라북도 성곡리 564,2011,1,벽돌,66.06
통안 마을회관,전라북도 율북리 407-1,1998,1,연와,89.1
율리 마을회관,전라북도 율북리 782-1,2003,1,벽돌,88.68
산내 마을회관,전라북도 안정리 427-2,1953,1,목조,47.2
안심 마을회관,전라북도 안정리 308-4,2003,1,조적조/슬라브,84.7
치천 마을회관,전라북도 금천리 107-2,1997,1,연와,89.91
금평 마을회관,전라북도 금천리 336-1,1972,1,벽돌/슬라브,110.6
황계 마을회관,전라북도 금창리 156-10,2000,1,조적조/슬라브,118.44
금상 마을회관,전라북도 금창리 480-1,1997,1,연와,74.2
방화 마을회관,전라북도 방화리 174-1,1998,1,연와,89.2
속리 마을회관,전라북도 방화리 601-2,2000,1,조적조/슬라브,89.32
운항 마을회관,전라북도 운북리 153-1,2001,1,조적조/슬라브,89.07
단풍 마을회관,전라북도 운북리 408-1,2002,1,연와조/슬라브,85.28
유사 마을회관,전라북도 월정리 692-4,1954,1,목조,48.8
장암 마을회관,전라북도 월정리 120-8,1997,1,연와,90.09
오정 마을회관,전라북도 월정리 448-3,2005,1,철근콘크리트,121.81
상리 마을회관,전라북도 자양리 221-1,1997,1,연와,89.6
구곡 마을회관,전라북도 구곡리 421-1,1998,1,철골조,167.58
화암 마을회관,전라북도 화암리 610,1976,1,벽돌조/슬라브,105.2
