시도명,시군구명,읍면명,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,담양군,봉산면,마산 마을회관,전라남도 봉산면 유산2리 263,92.04,2022-05-27
전라남도,담양군,봉산면,양지 마을회관,전라남도 봉산면 양지리 593,235,2022-05-27
전라남도,담양군,봉산면,월전 마을회관,전라남도 봉산면 양지2리 482-1,73.5,2022-05-27
전라남도,담양군,봉산면,와우 마을회관,전라남도 봉산면 와우1리 536-5,156.05,2022-05-27
전라남도,담양군,봉산면,신평 마을회관,전라남도 봉산면 와우2리 486-5,121.07,2022-05-27
전라남도,담양군,봉산면,봉학 마을회관,전라남도 봉산면 와우3리 332-5,41.88,2022-05-27
전라남도,담양군,봉산면,삼지 마을회관,전라남도 봉산면 삼지리 430,100,2022-05-27
전라남도,담양군,고서면,교촌 마을회관,전라남도 고서면 교산1리 403-39,77,2022-05-27
전라남도,담양군,고서면,하북산 마을회관,전라남도 고서면 교산2리 200-8,83.82,2022-05-27
전라남도,담양군,고서면,장성물 마을회관,전라남도 고서면 교산2리 304-2,81.9,2022-05-27
전라남도,담양군,고서면,덕촌 마을회관,전라남도 고서면 고읍1리 512-4,99.69,2022-05-27
전라남도,담양군,고서면,신양 마을회관,전라남도 고서면 고읍2리 395-5,83.16,2022-05-27
전라남도,담양군,고서면,잣정 마을회관,전라남도 고서면 분향1리 273-2,102.11,2022-05-27
전라남도,담양군,고서면,용대 마을회관,전라남도 고서면 분향2리 131-9,86.53,2022-05-27
전라남도,담양군,고서면,운현 마을회관,전라남도 고서면 금현2리 175-1,97.29,2022-05-27
전라남도,담양군,고서면,노채 마을회관,전라남도 고서면 금현3리 83,76.14,2022-05-27
전라남도,담양군,고서면,금단동 마을회관,전라남도 고서면 금현2리 408-1,77.85,2022-05-27
전라남도,담양군,고서면,성산 마을회관,전라남도 고서면 성월1리 51-1,100.98,2022-05-27
전라남도,담양군,고서면,월천 마을회관,전라남도 고서면 성월3리 875-4,72.74,2022-05-27
전라남도,담양군,고서면,검단 마을회관,전라남도 고서면 성월4리 820-1,78.21,2022-05-27
전라남도,담양군,고서면,해평 마을회관,전라남도 고서면 성월5리 348-29,84.48,2022-05-27
전라남도,담양군,고서면,내보 마을회관,전라남도 고서면 보촌1리 136-4,86.49,2022-05-27
전라남도,담양군,고서면,외보 마을회관,전라남도 고서면 보촌2리 543,89.49,2022-05-27
전라남도,담양군,고서면,주평 마을회관,전라남도 고서면 주산1리 598-1,95.99,2022-05-27
전라남도,담양군,고서면,노안등 마을회관,전라남도 고서면 주산1리 514-4,84.1,2022-05-27
전라남도,담양군,고서면,주산 마을회관,전라남도 고서면 주산2리 275,69,2022-05-27
전라남도,담양군,고서면,장산 마을회관,전라남도 고서면 주산3리 398,83.3,2022-05-27
전라남도,담양군,고서면,원유동 마을회관,전라남도 고서면 원강1리 424-1,109.12,2022-05-27
전라남도,담양군,고서면,분토동 마을회관,전라남도 고서면 원강3리 587-3,78.98,2022-05-27
전라남도,담양군,고서면,동산촌 마을회관,전라남도 고서면 동운1리 765,129.51,2022-05-27
전라남도,담양군,고서면,운교 구름다리 마을회관,전라남도 고서면 동운2리 335-1,85.96,2022-05-27
전라남도,담양군,고서면,원등 마을회관,전라남도 고서면 동운3리 1308-1,82.97,2022-05-27
전라남도,담양군,고서면,상덕 마을회관,전라남도 고서면 산덕1리 112-14,98.67,2022-05-27
전라남도,담양군,고서면,후산 마을회관,전라남도 고서면 산덕2리 432-2,101.09,2022-05-27
전라남도,담양군,가사문학면,지실 마을회관,전라남도 가사문학면 지곡1리 262,61.56,2022-05-27
전라남도,담양군,가사문학면,지석 마을회관,전라남도 가사문학면 지곡2리 78-4,141,2022-05-27
전라남도,담양군,가사문학면,연천 마을회관,전라남도 가사문학면 연천1리 160-4,72.8,2022-05-27
전라남도,담양군,가사문학면,반석 마을회관,전라남도 가사문학면 연천2리 291-1,72.8,2022-05-27
전라남도,담양군,가사문학면,정곡 마을회관,전라남도 가사문학면 정곡1리 383-1,83.82,2022-05-27
전라남도,담양군,가사문학면,사봉실 마을회관,전라남도 가사문학면 정곡1리 189,72.45,2022-05-27
전라남도,담양군,가사문학면,시문 마을회관,전라남도 가사문학면 정곡2리 103,88.26,2022-05-27
전라남도,담양군,가사문학면,경상 마을회관,전라남도 가사문학면 경상리 291,78.72,2022-05-27
전라남도,담양군,가사문학면,무동 마을회관,전라남도 가사문학면 무동리 338,73.44,2022-05-27
전라남도,담양군,가사문학면,만월 마을회관,전라남도 가사문학면 만월1리 389,88.5,2022-05-27
전라남도,담양군,가사문학면,용연 마을회관,전라남도 가사문학면 만월2리 121-3,88.2,2022-05-27
전라남도,담양군,가사문학면,구산 마을회관,전라남도 가사문학면 구산1리 105-3,91.38,2022-05-27
전라남도,담양군,가사문학면,장단 마을회관,전라남도 가사문학면 구산2리 315,80.46,2022-05-27
전라남도,담양군,가사문학면,인암 마을회관,전라남도 가사문학면 인암리 91,84.99,2022-05-27
전라남도,담양군,가사문학면,자창 마을회관,전라남도 가사문학면 가암1리 232-4,70.47,2022-05-27
전라남도,담양군,가사문학면,청촌 마을회관,전라남도 가사문학면 가암2리 394-1,69.84,2022-05-27
전라남도,담양군,가사문학면,풍암 마을회관,전라남도 가사문학면 풍암리 103,70.2,2022-05-27
전라남도,담양군,가사문학면,화암 마을회관,전라남도 가사문학면 화암리 340-1,72.36,2022-05-27
전라남도,담양군,창평면,시동 마을회관,전라남도 창평면 창평1리 287-3,77.74,2022-05-27
전라남도,담양군,창평면,사동 마을회관,전라남도 창평면 창평2리 637-12,88.08,2022-05-27
전라남도,담양군,창평면,상삼천 마을회관,전라남도 창평면 삼천2리 173-6,93.66,2022-05-27
전라남도,담양군,창평면,수곡 마을회관,전라남도 창평면 용수1리 253,86.34,2022-05-27
전라남도,담양군,창평면,용운동 마을회관,전라남도 창평면 용수2리 416-2,80.33,2022-05-27
전라남도,담양군,창평면,용수전원 마을회관,전라남도 창평면 용수1길 3,82.4,2022-05-27
전라남도,담양군,창평면,유천 마을회관,전라남도 창평면 유천1리 121-1,184,2022-05-27
전라남도,담양군,창평면,양산 마을회관,전라남도 창평면 오강1리 111,66,2022-05-27
