시도명,시군구명,읍면명,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,담양군,수북면,원대흥 마을회관 ,전라남도 수북면 대흥리 72-1,79.92,2022-05-27
전라남도,담양군,대전면,서부 마을회관,전라남도 대전면 대치1리 1306,36.63,2022-05-27
전라남도,담양군,대전면,원촌 마을회관,전라남도 대전면 대치6리 381-1,168.2,2022-05-27
전라남도,담양군,대전면,대조 마을회관,전라남도 대전면 대치7리 1041-11,97.36,2022-05-27
전라남도,담양군,대전면,화암 마을회관,전라남도 대전면 평장2리 268,77.76,2022-05-27
전라남도,담양군,대전면,청룡 마을회관,전라남도 대전면 서옥2리 828-1,72.48,2022-05-27
전라남도,담양군,대전면,중옥 마을회관,전라남도 대전면 중옥리 421,86.6,2022-05-27
전라남도,담양군,대전면,신룡 마을회관,전라남도 대전면 응용1리 284,123.88,2022-05-27
전라남도,담양군,대전면,응기 마을회관,전라남도 대전면 응용2리 262-1,101.16,2022-05-27
전라남도,담양군,대전면,태암 마을회관,전라남도 대전면 태목1리 248,138.3,2022-05-27
전라남도,담양군,대전면,시목 마을회관,전라남도 대전면 태목2리 367-29,91.35,2022-05-27
전라남도,담양군,대전면,강의 마을회관,전라남도 대전면 강의리 300-1,328.75,2022-05-27
전라남도,담양군,대전면,월인 마을회관,전라남도 대전면 월본1리 635,172.93,2022-05-27
전라남도,담양군,대전면,갈전 마을회관,전라남도 대전면 월본2리 727,226.99,2022-05-27
전라남도,담양군,대전면,병풍 마을회관,전라남도 대전면 병풍리 320-1,59.76,2022-05-27
전라남도,담양군,대전면,행정 마을회관,전라남도 대전면 행성리 231-1,239.1,2022-05-27
전라남도,담양군,대전면,덕진 마을회관,전라남도 대전면 행성2리 32-12,298.2,2022-05-27
전라남도,담양군,대전면,옥산 마을회관,전라남도 대전면 행성3리 496,79.61,2022-05-27
전라남도,담양군,대전면,성산 마을회관,전라남도 대전면 성산리 173-4,130.16,2022-05-27
전라남도,담양군,대전면,사성 마을회관 ,전라남도 대전면 갑향1리 565-1,84,2022-05-27
전라남도,담양군,대전면,계곡 마을회관 ,전라남도 대전면 갑향2리 225-1,162.76,2022-05-27
