2021년 장흥군 읍면별 경로당 현황,,,,,
,,,,,
연번,읍면,경로당명,주소,등록일자,구분
104,관산,신당(여),신당길 10-4,2001. 10. 10,여
105,관산,사금(남),사금길 35,1989. 06. 01,남
106,관산,사금(여),사금길 35,1989. 06. 01,여
107,관산,송  현,송촌지정길 145,2000. 09. 20,공동
108,관산,평촌(남),평촌길 22,1989. 09. 20,남
109,관산,평촌(여),평촌길 22,1989. 09. 20,여
110,관산,대평(남),남끝동두길 5,2009. 10. 09,남
111,관산,대평(여),남끝동두길 3,2001. 10. 10,여
112,관산,어은(남),어은2길 3,2007. 03. 05,남
113,관산,어은(여),어은1길 13,2001. 10. 10,여
114,관산,        남극수성당         ,수동길 16,1989. 06. 01,남
115,관산,외동(여),수동길 15,2000. 09. 20,여
116,관산,관흥(남),관흥2길 10-9,2009. 12. 28,남
117,관산,관흥(여),관흥2길 10-6,2001. 10. 10,여
118,관산,관남(남),산동1길 16,1989. 06. 01,남
119,관산,관남(여),산동1길 16,1989. 06. 01,여
120,관산,삼성당,산서1길 22,1989. 06. 01,남
121,관산,산서(여),산서1길 25-37,2001. 10. 10,여
122,관산,산동(남),산동4길 2-3,1989. 06. 01,남
123,관산,산동(여),산동2길 30-1,2000. 09. 20,여
124,관산,우산(남),우산도1길 96,1989. 09. 20,남
125,관산,우산(여),우산도2길 53,2000. 09. 20,여
126,관산,우  도,돌의도길 39,2008. 05. 02,공동
127,관산,고마수성당,고마장환길 227,1989. 06. 01,남
128,관산,고마1구(여),고마장환길 227,2001. 10. 10,여
129,관산,장환(남),고마장환길 446,1989. 06. 01,남
130,관산,장환(여),고마장환길 446,2001. 10. 10,여
131,관산,고마3구,고마장환길 321,2005. 03. 31,공동
132,관산,죽청(남),죽청2길 12,1989. 06. 01,남
133,관산,죽청(여),죽청2길 12,2000. 09. 20,여
134,관산,신월(남),죽청1길 139,2000. 09. 20,남
135,관산,신월(여),죽청1길 139,2001. 10. 10,여
136,관산,발산(남),하발길 2,1989. 06. 01,남
137,관산,발산(여),하발길 2,2005. 11. 22,여
138,관산,동촌(남),동촌길 29,1989. 06. 01,남
139,관산,동촌(여),동촌길 29,2000. 09. 20,여
140,관산,양  촌,죽교 상하발로 217,2014. 01. 06,공동
141,대덕,대덕(남),대대로 905,1981. 06. 01,남
142,대덕,대덕(여),거정안길 6,1991. 01. 03,여
143,대덕,산외(남),산외동2길 1,1989. 06. 01,남
144,대덕,산외(여),산외동2길 1,2000. 10. 30,여
145,대덕,신흥(남),신흥1길 6,1994. 04. 13,남
146,대덕,신흥(여),신흥1길 6,2000. 10. 22,여
147,대덕,연  동,연동길 22,2000. 10. 30,공동
148,대덕,연  지,연지길 92,1995. 03. 22,공동
149,대덕,오  산,오산2길 5,2001. 10. 10,공동
150,대덕,연평(남),연평길 29,1989. 06. 01,남
151,대덕,연평(여),연평길 24,2017. 02. 16,여
152,대덕,구  평,구평길 26,2001. 10. 10,공동
153,대덕,산정(남),산정길 23,1989. 06. 01,남
154,대덕,산정(여),산정구평길 163,2002. 05. 29,여
155,대덕,평촌(남),연정평촌길 74,1989. 06. 01,남
156,대덕,평촌(여),연정평촌길 74,2002. 12. 20,여
157,대덕,월  정,월정1길 69,1989. 06. 01,공동
158,대덕,내  동,신월내동길 10,2002. 05. 29,공동
159,대덕,축내(남),축내1길 18-3,1989. 06. 01,남
160,대덕,축내(여),축내1길 18-3,2002. 04. 15,여
161,대덕,초  당,신월초당길 39,2000. 10. 30,공동
162,대덕,거정(남),대대로 895,1989. 06. 01,남
163,대덕,거정(여),대대로 895,2002. 12. 20,여
164,대덕,신  기,신월신기길 24,2001. 10. 10,공동
165,대덕,도동(남),도동3길 12,1989. 06. 01,남
166,대덕,도동(여),도동2길 11,1989. 06. 01,여
167,대덕,도서(남),도서2길 18,1989. 06. 01,남
168,대덕,도서(여),도서2길 18 ,1989. 06. 01,여
169,대덕,양하(남),양하길 20,2001. 09. 22,남
170,대덕,양하(여),양하길 20,2002. 12. 20,여
171,대덕,잠두(남),잠두1길 60,1989. 06. 01,남
172,대덕,잠두(여),잠두1길 60,2002. 04. 15,여
173,대덕,덕촌(남),양하덕촌길 269,2000. 09. 22,남
174,대덕,덕촌(여),양하덕촌길 269,2009. 10. 09,여
175,대덕,동신(남),장흥대로 76-1,1989. 06. 01,남
176,대덕,동신(여),장흥대로 76-2,2002. 04. 15,여
177,대덕,서신(남),서신1길 6,1989. 06. 01,남
178,대덕,서신(여),서신1길 10-1,2000. 10. 30,여
179,대덕,이신(남),이신길 18,1989. 06. 01,남
180,대덕,이신(여),내저매생이길 6,2000. 10. 30,여
181,대덕,분  토,분토로 300-1,1998. 02. 01,공동
182,대덕,내저(남),내저매생이1길 91,1989. 06. 01,남
183,대덕,내저(여),내저매생이2길 33,1989. 06. 01,여
184,대덕,옹암(남),신리옹암로 398,1989. 06. 01,남
185,대덕,옹암(여),신리옹암로 396-2,1989. 06. 01,여
186,대덕,율  지,율지길 27,1989. 06. 01,공동
187,대덕,영  보,영보길 125,2000. 10. 30,공동
188,대덕,가학(남),가학1길 31-8,1989. 06. 01,남
189,대덕,가학(여),가학1길 21,1998. 10. 10,여
190,용산,중  앙,접정길 8-1,1989. 06. 01,남
191,용산,용산(여),접정길 8,1998. 03. 25,여
192,용산,어  동,어동길 5,2000. 09. 22,공동
193,용산,어  서,어산운주길 61-1,2000. 09. 22,공동
194,용산,봉  황,어산운주길 178,2000. 09. 22,공동
195,용산,운  주,운주길 50,1998. 05. 09,공동
196,용산,접  정,접정길 72,2002. 05. 29,공동
197,용산,묵  촌,묵촌길 41-12,2000. 09. 22,공동
198,용산,월  림,월림길 27,2001. 10. 10,공동
199,용산,재  송,조선백자길 187,2003. 04. 04,공동
