연번,읍면동,리,지 번,마을회관명,토지소유자,건물소유자,건립일자,대지면적 (제곱미터),총면적(제곱미터),마을회관 면적(제곱미터),주구조,마을회관사용1,마을회관사용2,노유자시설사용(경로당)
251,주삼동,해산,129,대평부락,대평새마을회외6인,해산동대평부락새마을회,1990-03-01,882,129.8,129.8,조적조,1층,,
252,삼일동,신덕,71,신덕 덕대,신덕동(덕대)자동계,신덕(덕대)자동계,1993-01-21,320,236.86,236.89,철근콘크리트,2층,,
253,삼일동,신덕,177-3,섬도,섬도새마을회,섬도새마을회,1998-01-01,146,66.15,66.15,시멘벽돌,1층,,
254,삼일동,상암,105-9,작양,작양노인회,작양노인회,2007-05-29,436,133.8,64.2,벽돌구조,2층,,
255,삼일동,상암,1288-1,상암,원상암새마을회,원상암새마을회,1988-11-04,202,83.08,83.08,시멘벽돌,1층,,
256,삼일동,상암,847,당내,당내새마을회,당내새마을회,2008-08-02,273,146.24,146.24,시멘벽돌,2층,,
257,삼일동,상암,2187-21,읍동,읍동새마을회,읍동새마을회,2006-08-10,504,85,85,시멘벽돌조,1층,,
258,삼일동,상암,1663,신진,신진마을회,신진마을회,1998-03-25,166,96.14,43.24,"시멘벽돌, 철근콘크리트",2층,,1층경로당
259,삼일동,상암,1734-2,진북,진북새마을회,진북새마을회,2006-01-24,139,124.2,46.98,시멘벽돌,2층,,1층경로당
260,삼일동,상암,12875,진남,진남새마을회,진남새마을회,2000-04-08,350,177.34,70.2,시멘트벽돌,2층,,1층경로당
261,삼일동,호명,528,호명,호명새마을회,호명새마을회,2006-12-28,275,139.77,103.5,철근콘크리트,2층,,2층경로당
262,삼일동,호명,549,양지,양지새마을회,양지새마을회,1997-03-21,375,82.8,82.8,철근콘크리트,1층,,
263,삼일동,호명,1258-1,자양,자양노인회,자양노인회,2006-06-17,,135.36,64.8,시멘벽돌,2층,,1층경로당
264,삼일동,호명,1154-1,내동,내동새마을회,내동새마을회,1997-07-10,351,92.18,92.18,벽돌구조,1층,,
265,삼일동,호명,1391,자내,천명균,천명균,1976-01-01,,63,63,"시멘벽돌,경량철골구조",1층,,
266,묘도동,온동,"115, 116, 116-1, 117",온동,류대호,온동새마을회대표:방형선,1997-12-30,239,235.6,235.6,"철근콘크리트, 시멘벽돌",2층,,
267,묘도동,묘읍,1676-4,묘읍,묘도동제3통새마을회,묘도동3통해마을회,2008-02-21,258,256.64,256.64,철근콘크리트조,2층,,
268,묘도동,도독,319,도독,도독새마을자치회,도독새마을회,2004-06-15,255,199.17,199.17,철근콘크리트구조,2층,,
269,묘도동,창촌,982-1,창촌,여수시,"묘도동1,2통창촌부락새마을회",1986-04-24,"1,078",307.8,307.8,벽돌구조,1층,,
270,묘도동,광양포,504-3,광양포,광양포새마을회,광양포새마을회,2004-09-20,472,135,55.8,벽돌스라브,2층,,1층경로당
