연번,읍면동,리,지 번,마을회관명,토지소유자,건물소유자,건립일자,대지면적 (제곱미터),총면적(제곱미터),마을회관 면적(제곱미터),주구조,마을회관사용1,마을회관사용2,노유자시설사용(경로당)
102,화양면,용주,617-3,고내,고내새마을회,고내새마을회,1994-01-05,355.13,162.88,58.14,시멘벽돌조,2층,,1층경로당
103,화양면,용주,"457-4, 425-10",호두,호두새마을회,호두새마을회,2003-11-28,223,112.5,42.5,벽돌구조,2층,,1층경로당
104,화양면,용주,1299-1,화련,화련새마을회,화련새마을회,1998-10-18,350,78.4,67.2,시멘트벽돌,2층,,1층경로당
105,화양면,창무,265-4,창무,창무새마을회,창무새마을회,1993-07-05,215,183.18,91.59,시멘트벽돌,2층,,1층경로당
106,화양면,창무,588-9,백초,백초새마을회,백초새마을회,1997-09-12,584,149.22,50.4,시멘벽돌,2층,,1층경로당
107,화양면,이천,222,오천,오천새마을회,오천새마을회,1997-09-15,495,155,47.88,조적조(시멘벽돌),2층,,1층경로당
108,화양면,이천,401-1,이천,"이계훈, 이천노인회",이천새마을회,1998-12-28,258,158.76,75.33,철근콘크리트,2층,,1층경로당
109,화양면,이천,694-1,감도,감도새마을회,감도마을회,1993-08-08,198,118.8,59.4,조적조(시멘벽돌),2층,,1층경로당
110,화양면,옥적,1639,마상,마상번영회,마상노인회,1998-08-07,179,134.98,36,시멘벽돌조,2층,,1층경로당
111,화양면,옥적,1230,옥적,옥적리신기동,옥적리새마을회,1984-06-07,333,137.26,68.63,시멘벽돌,2층,,1층경로당
112,화양면,옥적,763,대옥,대옥부락새마을회,대옥부락새마을회,1990-03-21,192,106.3,70.3,벽돌,2층,,2층경로당
113,화양면,옥적,653,상전,상전새마을회,상전새마을회,1998-05-22,1401,108.44,43.65,시멘트벽돌조,2층,,1층경로당
114,화양면,화동,730-2,화동,화동새마을회,화동새마을회,2017-09-18,201,76.52,76.52,벽돌구조,1층,,
115,화양면,화동,1190-1,청량,청량리새마을회,청량리새마을회,1970-01-01,680.5,103.92,103.92,시멘벽돌,2층,,
116,화양면,서촌,688-7외3필지,서촌,서촌리새마을영농회,서촌리새마을영농회,2000-12-15,1340,164.1,98.1,벽돌조,2층,,2층경로당
117,화양면,서촌,910-20,석교,김종순,석교새마을회,1980-09-10,384,49.59,49.59,벽돌조,1층,,
118,화양면,서촌,163-1,봉오,봉오마을회,봉오마을회,1994-10-14,110,94.95,32.76,조적조,2층,,1층경로당
119,화양면,이목,1023-1,이목,이목리새마을회,이목리새마을회,1996-12-27,546,127.34,38.5,시멘벽돌조,2층,,1층경로당
120,화양면,이목,1197-1,서연,서연리새마을회,서연새마을회,1996-09-07,199,66.9,66.9,시멘벽돌조,1층,,
121,화양면,이목,1432,구미,이목리,구미새마을회,1998-02-07,,128.84,59.54,시멘벽돌조,2층,,1층경로당
122,화양면,이목,598,벌가,가정부락새마을회,이목가정부락,1992-09-20,,152.19,66.24,벽돌,2층,,1층경로당
123,화양면,장수,1292-27,장수,신순만외10인,장수영농회,1995-01-09,756,165.3,165.3,벽돌,2층,,
124,화양면,장수,685-5,수문,수문리새마을회,수문리새마을회,1998-05-22,523,72.45,49.68,시멘벽돌조,1층,,
125,화양면,장수,476,장척,장수리,장척새마을회,1995-06-07,497,132.24,132.24,시멘벽돌조,2층,,
126,화양면,장수,152,장동,장등새마을회,장동새마을회,1991-10-27,311,66.11,66.11,시멘트벽돌조,1층,,
127,화양면,안포,503,세포,김병옥 외3인,세포리새마을회,1995-06-28,368,135,60,시멘트벽돌,2층,,
128,화양면,안포,989,원포,김서익외4인,원포새마을회,1999-05-18,178,66.96,66.96,조적조(시멘벽돌),1층,,
129,화양면,안포,1572-12,안포,안포리마을회,안포리경노회,1992-10-23,109,166.83,78,시멘트벽돌,2층,,
130,남   면,우학,680-17,내외진,내외진새마을회,내외진새마을회,1995-08-30,757,265,265,시멘트벽돌,2층,,
131,남   면,우학,241-6,우실,우실새마을회,우실새마을회,1993-02-23,330,133.23,66,시멘트벽돌,1층,,
132,남   면,우학,586-1,학동,학동리,학동새마을회,1998-04-03,165,126.97,72.42,"조적조,시멘트벽돌",2층,,2층경로당
133,남   면,두모,1431-1,두포,두포새마을회,두포새마을회,2004-03-08,205,91.96,91.96,벽돌구조,1층,,
134,남   면,두모,"946, 946-6",직포,직포새마을회,직포새마을회,1996-09-21,190,102.2,102.2,시멘트벽돌,1층,,
135,남   면,두모,"570-4,570-5",모하,모하부락새마을회,남면두모리모하부락새마을회,2001-12-21,445,66.33,55.8,벽돌구조,2층,,1층경로당
136,남   면,유송,1078-4,함구미,함구미부락마을회,함구미새마을회,1998-12-08,1008,68.55,68.55,시멘트벽돌,1층,,
137,남   면,유송,"654-1, 673",송고,송고새마을회,송고새마을회,2003-07-02,658,186.12,89.1,시멘트벽돌,2층,,1층경로당
