연번,법정리,마을명,마을회관 주소,연면적(제곱미터),구조물 형태,규모,건립년도
123,어치리,회두,전라남도 광양시 어치리 948-2외 1필지,101.4,경량철골,1층,2009
124,어치리,지계,전라남도 광양시 어치리 819-2,346.24,철콘,2층,2010
125,섬거리,신시,전라남도 광양시 섬거리 557-31,198.3,철콘,2층,2014
126,지원리,지랑,전라남도 광양시 지원리 1323외 1필지,174,조적,2층,2017
127,송금리,금동,전라남도 광양시 송금리 298-6,68.24,시멘트벽돌,1층,1968
128,마룡리,방죽,전라남도 광양시 마룡리 964-6,66,블록,1층,1982
129,오사리,추동,전라남도 광양시 오사리 824-4,90.6,벽돌,1층,1990
130,신아리,아동,전라남도 광양시 신아리 1189-8,117.44,조적,2층,1991
131,진정리,중산,전라남도 광양시 진정리 277-7,94.05,조적,2층,1992
132,송금리,송현,전라남도 광양시 송금리 591-3,109.07,조적,2층,1992
133,망덕리,외망,전라남도 광양시 망덕리 12-1외 2필지,132.8,철콘,2층,1993
134,선소리,선소,전라남도 광양시 선소리 812-53,297.98,철콘,2층,1993
135,마룡리,용소,전라남도 광양시 마룡리 430-1외 1필지,132,조적,2층,1994
136,선소리,이정,전라남도 광양시 선소리 369-4,137.82,블록,2층,1994
137,오사리,오추,전라남도 광양시 오사리 381-18,151.75,조적,2층,1994
138,오사리,돈탁,전라남도 광양시 오사리 1286,136.08,시멘트벽돌,2층,1994
139,월길리,대리,전라남도 광양시 월길리 56-10,167.64,벽돌,2층,1994
140,신아리,신답,전라남도 광양시 신아리 146-102,141.81,조적,2층,1995
141,망덕리,구룡,전라남도 광양시 망덕리 398-8,146.95,조적,2층,1996
142,진정리,선포,전라남도 광양시 진정리 965,95.58,조적,2층,1996
143,신구리,신기,전라남도 광양시 신구리 545,138.85,조적,1층,1996
144,월길리,중도,전라남도 광양시 월길리 6-30,266.49,벽돌,2층,1996
145,망덕리,내망,전라남도 광양시 망덕리 203-7,141.36,철콘,2층,1997
146,진정리,진목,전라남도 광양시 진정리 449-4,113.5,벽돌,1층,1997
147,신구리,구동,전라남도 광양시 신구리 415-4,166.8,시멘트벽돌,2층,1997
