관할,경로당명,읍면동,리,번지,건축연도,건축물 면적,부지면적,소유자,데이터기준일자,,
해룡면,해창경로당,해룡면,해창,222-2,1999,108.23,234.6,순천시해룡면해창리해창마을새마을회,2020-08-20,,
승주읍,기룡경로당,승주읍,유평,221-2,2008,82.83,246,최준용,2020-08-20,,
서면,신기경로당,서면,비월,217-4,1983,52,,,2020-08-20,,
낙안면,구기경로당,낙안면,신기,217-3,2005,88.65,218,낙안면구기마을회,2020-08-20,,
승주읍,학구경로당,승주읍,봉덕,212-1,2020,72.64,214,순천시,2020-08-20,,
낙안면,노암경로당,낙안면,이곡,21-15,2004,86.55,213,"박화연외2인(강옥비,강정일)",2020-08-20,,
삼산동,오리정경로당,석현동,,211-1,,60,,"주문규외4인(채동배,심채수,신재석,소진우)",2020-08-20,,
중앙동,만수경로당,동외동,,210-14,1997,60.03,112,만수경로당,2020-08-20,,
중앙동,북부부인경로당,동외동,,210-14,1997,60.03,112,만수경로당,2020-08-20,,
주암면,가음경로당,주암면,백록,210-1,1979,72,764,허현,2020-08-20,,
상사면,연동경로당,상사면,오곡,208-1,2002,89.43,227,정민수,2020-08-20,,
해룡면,대법경로당,해룡면,성산,205-1,2017,86.55,366.08,대법리새마을회,2020-08-20,,
서면,연동경로당,서면,흥대,204-4,2007,81.88,265,흥대리연동마을회,2020-08-20,,
낙안면,서내경로당,낙안면,서내,203-5,2006,96.9,192,서내리새마을회,2020-08-20,,
서면,주공2단지경로당,서면,선평,202-1,2004,92.72,,대한주택공사,2020-08-20,,
향동,노두경로당,와룡동,,198-3,2008,89.93,265,노두마을발전회,2020-08-20,,
황전면,신촌경로당,황전면,수평,196-7,1997,64.8,299.87,김양수외 1명,2020-08-20,,
송광면,유경경로당,송광면,삼청,196-3,1992,26.74,,장병렬,2020-08-20,,
별량면,척동경로당,별량면,원창,196-1,1992,90.1,255,순천시별량면원창리척동마을회,2020-08-20,,
별량면,대려경로당,별량면,운천,195-3,2002,89.04,150,순천시별량면대려마을회,2020-08-20,,
월등면,화지경로당,월등면,대평,194-6,2004,95.72,646,순천화지마을회,2020-08-20,,
낙안면,목촌경로당,낙안면,목촌,193-1,2005,91.68,,낙안면목촌마을회,2020-08-20,,
낙안면,목촌여자경로당,낙안면,목촌,193-1,2005,91.68,,낙안면목촌마을회,2020-08-20,,
삼산동,용당현대아파트경로당,용당동,,191-1,1991,94,,현대건설주식회사,2020-08-20,,
주암면,오산경로당,주암면,오산,190-1,2001,73.08,,"조연용,조세훈,조재훈,조안선",2020-08-20,,
해룡면,대안경로당,해룡면,대안,189-5,2020,96,329.5,순천시,2020-08-20,,
향동,향동부인경로당,금곡동,,188-29,2010,77.91,314,순천시,2020-08-20,,
덕연동,덕암경로당,덕암동,,188-123,2007,81.56,431,순천시,2020-08-20,,
상사면,어은경로당,상사면,쌍지,187-4,1982,101.2,,정병재,2020-08-20,,
송광면,장동경로당,송광면,장안,1864-1,2016,104.02,676,순천시송광장동마을회,2020-08-20,,
낙안면,성북마을경로당,낙안면,성북,184-1,2001,66.7,566.21,낙안면성북마을회,2020-08-20,,
상사면,흘산경로당,상사면,흘산,183-1,2002,69.01,521.6,흘산리새마을회,2020-08-20,,
향동,금곡남자경로당,금곡동,,181-4,1997,47.16,119,순천시향교재산,2020-08-20,,
향동,금곡여자경로당,금곡동,,181-4,1997,47.16,119,순천시향교재산,2020-08-20,,
낙안면,평사경로당,낙안면,평사,181-1,1996,176.16,1170,강기협,2020-08-20,,
남제동,인제행복경로당,인제동,,181-1,2014,75.86,322,순천시,2020-08-20,,
매곡동,매산등경로당,매곡동,,179-55,2004,47.94,101.5,순천시,2020-08-20,,
매곡동,삼풍그린파크경로당,매곡동,,179-1,1991,32,,삼풍그린파크,2020-08-20,,
서면,노은경로당,서면,판교,178-4,1998,76.32,299,백은미,2020-08-20,,
해룡면,노월경로당,해룡면,농주,178-3,2001,58,145,노월마을새마을회,2020-08-20,,
월등면,율지경로당,월등면,신월,177-4,2007,83.07,297,순천율지마을회,2020-08-20,,
중앙동,시민경로당,동외동,,177-1,2008,88.22,151,순천시,2020-08-20,,
해룡면,상내경로당,해룡면,상내,176-1,2004,85.68,167.4,순천시해룡면상내리상내마을새마을회,2020-08-20,,
황전면,죽동경로당,황전면,죽내,174-7,2005,83,208,죽동마을,2020-08-20,,
월등면,상동경로당,월등면,계월,174-11,,96,,장순임,2020-08-20,,
별량면,과동경로당,별량면,금치,169-1,2007,81.38,,과동마을회,2020-08-20,,
낙안면,신전경로당,낙안면,금산,168-1,2005,71.79,192,한영용외1인(양동중),2020-08-20,,
황전면,임선경로당,황전면,모전,168-1,2004,80,235,임선마을회,2020-08-20,,
도사동,금성경로당,홍내동,,167-35,2004,29.5,150,홍내동금성마을회,2020-08-20,,
해룡면,도롱경로당,해룡면,도롱,166-2,2015,93.27,211,순천시해룡면도롱리도롱마을새마을회,2020-08-20,,
덕연동,세영더-조은경로당,연향동,,1660-2,2006,55.17,,세영종합건설주식회사,2020-08-20,,
덕연동,연향주공경로당,연향동,,1660-1,2006,113.61,,대한주택공사,2020-08-20,,
상사면,용계경로당,상사면,용계,165-4,1992,96.15,244,상사용계리마을회,2020-08-20,,
해룡면,동가산경로당,해룡면,남가,163-15,2012,70.2,202,해룡면남가리동가산마을회,2020-08-20,,
서면,임촌경로당,서면,동산,163-11,1998,68.2,172,서면임촌마을회,2020-08-20,,
덕연동,호반1차아파트경로당,연향동,,1626-1,2001,108,,리젠시빌/건설주식회사,2020-08-20,,
해룡면,매봉경로당,해룡면,복성,160-1,2001,36.9,218,유병환,2020-08-20,,
해룡면,산두경로당,해룡면,신대,155-59,1988,77.05,231,해룡면산두회관,2020-08-20,,
외서면,월평경로당,외서면,월암,155-10,1996,66,165,외서면월평새마을회,2020-08-20,,
장천동,장천부인경로당,장천동,,154-9,2008,79.88,158,순천시,2020-08-20,,
조곡동,역전경로당,조곡동,,151-50,2003,73.64,115.43,순천시,2020-08-20,,
덕연동,연향경로당,연향동,,151-21,2018,98.85,432,순천시연향동연향마을,2020-08-20,,
승주읍,축내경로당,승주읍,도정,1511-1,2012,96.45,434,축내마을회,2020-08-20,,
덕연동,덕암현대아파트경로당,덕암동,,1-50,1995,82.35,,현대산업개발주식회사,2020-08-20,,
남제동,서린경로당,인제동,,143-1,2011,153.09,496,순천시,2020-08-20,,
삼산동,삼산경로당,석현동,,142-17,2008,87.56,226,순천시,2020-08-20,,
낙안면,옥산경로당,낙안면,옥산,141-1,1998,82.5,,낙안면옥산노인회,2020-08-20,,
해룡면,중흥경로당,해룡면,중흥,141-1,1987,113.71,423,중흥리새마을회,2020-08-20,,
황전면,교동경로당,황전면,금평,140-1,2018,83.01,,교동리새마을회,2020-08-20,,
왕조1동,조례주공1단지남자경로당,조례동,,1385-11,1985,48,,조례주공1단지,2020-08-20,,
덕연동,부영1차아파트경로당,연향동,,1384-3,1991,130.3,,,2020-08-20,,
덕연동,연향우미아파트경로당,연향동,,1384-2,1992,149.29,,연향우미아파트,2020-08-20,,
황전면,산영경로당,황전면,회룡,138-3,1999,72.85,205,황전면산영새마을회,2020-08-20,,
주암면,갈마경로당,주암면,갈마,138-1,2003,73.26,198.4,갈마리,2020-08-20,,
낙안면,교촌여자경로당,낙안면,교촌,138-1,1997,83.25,,교촌리마을회,2020-08-20,,
도사동,신풍부인경로당,안풍동,,137-3,2004,80.24,565.18,안풍동신풍마을회,2020-08-20,,
덕연동,연향제1지구경로당,연향동,,1370-3,1993,103.33,207.6,순천시,2020-08-20,,
도사동,신보경로당,덕월동,,1369-1,2011,78,,신보아파트,2020-08-20,,
별량면,칠동경로당,별량면,두고,132-1,1973,50.4,,김태원,2020-08-20,,
도사동,금전경로당,대대동,,1313-1,1998,70.05,354,금전부락새마을회,2020-08-20,,
왕조1동,조례주공1단지여자경로당,조례동,,1299-5,1985,48,,조례주공1단지,2020-08-20,,
풍덕동,원풍남자경로당,풍덕동,,1284-9,1997,119,206.3,"풍원경로당외3인(정희순,김철수,박춘심)",2020-08-20,,
풍덕동,원풍여자경로당,풍덕동,,1284-9,1997,119,206.3,"풍원경로당외3인(정희순,김철수,박춘심)",2020-08-20,,
월등면,운월경로당,월등면,운월,128-1,1997,54.24,238,남병우외 8명,2020-08-20,,
별량면,신석경로당,별량면,봉림,1278-15,2002,82.47,242,순천시별량면원창리신석마을회,2020-08-20,,
낙안면,덕천경로당,낙안면,검암,123-1,1999,85.81,256,덕천마을총회,2020-08-20,,
송광면,장안남자경로당,송광면,장안,1202-4,2004,82.47,439,장안마을회,2020-08-20,,
승주읍,지동경로당,승주읍,도정,1191-1,2006,84.36,360,도정리 지동마을회,2020-08-20,,
해룡면,평화경로당,해룡면,신대,1185-16,2016,89.65,302,신대리평화마을회,2020-08-20,,
황전면,신계경로당,황전면,비촌,1179-3,1995,59.5,,하태공외 1명,2020-08-20,,
송광면,신정경로당,송광면,이읍,1173-3,1994,89.55,,송광신정마을회,2020-08-20,,
승주읍,오성경로당,승주읍,두월,116-3,2017,86.03,592,효동마을회,2020-08-20,,
해룡면,남가경로당,해룡면,남가,116-3,2003,90.82,422,해룡면남가마을회,2020-08-20,,
서면,운평경로당,서면,운평,1162-102,1998,87.63,357,운평마을회,2020-08-20,,
향동,청수정경로당,금곡동,,114-2,2017,163.01,,순천시,2020-08-20,,
별량면,온야경로당,별량면,봉림,1140-7,1998,86.78,245,온야마을새마을회,2020-08-20,,
삼산동,원가곡경로당,가곡동,,112-5,2003,90.67,159,가곡새마을회,2020-08-20,,
주암면,약촌경로당,주암면,한곡,112-1,2005,90.36,482,약촌마을회,2020-08-20,,
도사동,동너리마을경로당,대대동,,1109-4,2000,32.85,167,순천시하내새마을회,2020-08-20,,
송광면,구표남자경로당,송광면,구룡,1108-1,1988,35.64,,최판돌,2020-08-20,,
송광면,구표여자경로당,송광면,구룡,1103-3,2003,78.48,261,순천시송광구표마을회,2020-08-20,,
승주읍,저동경로당,승주읍,남강,1102-1,2003,60.06,202,남강리저동마을회,2020-08-20,,
덕연동,명말경로당,연향동,,1091-1,2017,266.59,776,순천시,2020-08-20,,
월등면,갈평경로당,월등면,갈평,109-1,2012,108.03,614,갈전마을회,2020-08-20,,
승주읍,송전경로당,승주읍,신성,1083-3,1998,96.2,,"송전마을회외1인, (장양수)",2020-08-20,,
황전면,각문경로당,황전면,회룡,1060-1,2019,111.67,1348,순천시,2020-08-20,,
별량면,대치경로당,별량면,금치,1056-5,2005,68.88,,금치리대치마을회,2020-08-20,,
도사동,월곡남자경로당,덕월동,,1045-1,1999,68.31,342.66,월곡마을회,2020-08-20,,
도사동,월곡여자경로당,덕월동,,1045-1,1999,68.31,342.66,월곡마을회,2020-08-20,,
송광면,신흥경로당,송광면,신흥,104-4,1988,62.43,373,신흥마을회,2020-08-20,,
낙안면,심내경로당,낙안면,내운,104-2,2003,82.8,228,낙안면내운리심내마을회,2020-08-20,,
송광면,이읍남자경로당,송광면,이읍,1040-1,1972,68.17,609,이읍노인회,2020-08-20,,
송광면,이읍여자경로당,송광면,이읍,1040-1,2015,75.96,609,이읍노인회,2020-08-20,,
황전면,월산경로당,황전면,월산,103-1,2003,102.52,686,월산리새마을회,2020-08-20,,
별량면,무림경로당,별량면,봉림,1029-1,2003,77.28,307,무림마을회,2020-08-20,,
황전면,비촌경로당,황전면,비촌,1018-1,,59.5,,비촌마을회,2020-08-20,,
해룡면,마산경로당,해룡면,대안,1017-2,1995,152.37,,해룡면마산리새마을회,2020-08-20,,
향동,행금경로당,금곡동,,101-2,2005,81.54,150,순천시,2020-08-20,,
별량면,동막경로당,별량면,동송,100-1,2000,81.88,378,별량면동막새마을회,2020-08-20,,
황전면,선변경로당,황전면,선변,6-5,2002,82.47,,선변경로회,2020-08-20,,
해룡면,통천경로당,해룡면,선월,4-7,2019,115.905,635,통천경로당,2020-08-20,,
주암면,외광경로당,주암면,광천,3-26,2002,81.67,183,순천시,2020-08-20,,
황전면,복호경로당,황전면,비촌,2-23,2005,68,171,비촌리복호마을회,2020-08-20,,
덕연동,생목삼거리경로당,생목동,,2-23,2008,74.88,152.18,순천시,2020-08-20,,
서면,서면경로당,서면,동산,2-22,1986,139.32,,서면노인회,2020-08-20,,
도사동,청미래1차경로당,덕월동,,2-1,2004,66,,청미래주택주식회사,2020-08-20,,
별량면,송내경로당,별량면,송학,1-30,2007,98.22,591,송내마을회,2020-08-20,,
덕연동,생목현대아파트경로당,생목동,,1-28,1991,90.45,,생목현대아파트,2020-08-20,,
황전면,봉덕경로당,황전면,봉덕,1-27,2005,70.65,330,순천시황전면봉덕마을회,2020-08-20,,
중앙동,중앙경로당,동외동,,1-26,2015,68.79,115,순천시,2020-08-20,,
황전면,월전경로당,황전면,괴목,1-9,2001,87.06,,월전양로당,2020-08-20,,
도사동,청미래3차경로당,덕월동,,1-9,2007,56,,청미래3차,2020-08-20,,
덕연동,신화경로당,덕암동,,1-6,1994,57.04,104.72,신화경로당,2020-08-20,,
향동,행동경로당,행동,,97-1,1987,87.78,,순천시,2020-08-20,,
주암면,주암용두경로당,주암면,운룡,94-2,2006,93.6,300,운용리용두마을회,2020-08-20,,
별량면,용두경로당,별량면,구룡,94-2,2005,219.12,572,용두마을번영회,2020-08-20,,
월등면,장척경로당,월등면,월용,88-1,2003,73.38,,장척마을회,2020-08-20,,
서면,구룡경로당,서면,지본,87-11,2004,84.48,212,순천시서면지본리구룡마을회,2020-08-20,,
월등면,유평경로당,월등면,신월,83-1,2005,97.83,628,유평리새마을회,2020-08-20,,
승주읍,신창경로당,승주읍,신학,82-5,2000,66,163,승주읍신창마을회,2020-08-20,,
서면,용림경로당,서면,압곡,81-7,2005,88.5,,서면용림새마을회,2020-08-20,,
별량면,송기경로당,별량면,송기,80-1,1998,87.63,301,송기마을경로회,2020-08-20,,
별량면,반곡경로당,별량면,봉림,77-5,1997,98.52,408,반곡새마을회,2020-08-20,,
월등면,월곡경로당,월등면,운월,77-1,2003,70,179,월등면월곡마을회,2020-08-20,,
주암면,광락경로당,주암면,광천,75-1,2012,78,316,주암면광천리내광마을회,2020-08-20,,
상사면,비촌경로당,상사면,비촌,75-1,2009,110,408,박병선외 1명,2020-08-20,,
덕연동,기로경로당,덕암동,,75-1,2014,143.87,442,순천시,2020-08-20,,
낙안면,상송경로당,낙안면,상송,74-4,2003,105.36,502,상송마을회외1인(김다례),2020-08-20,,
주암면,용강경로당,주암면,복다,73-5,2005,90.72,,복다리용강마을회,2020-08-20,,
낙안면,남내여자경로당,낙안면,남내,70-5,1960,64.7,,"신천우외4인(임성일,박동일,선현규,선정호)",2020-08-20,,
낙안면,운동여자경로당,낙안면,내운,70-5,1995,40.32,96,내운리운동마을회,2020-08-20,,
황전면,내임선경로당,황전면,모전,68-4,2011,77.22,276,황전내임선마을회,2020-08-20,,
주암면,오원경로당,주암면,죽립,62-10,2006,90,187.5,주암면죽림리오원마을회,2020-08-20,,
중앙동,학수경로당,동외동,,58-10,2005,47.36,76,정종하외1인(공정대),2020-08-20,,
주암면,무학경로당,주암면,어왕,57-5,2005,98.64,286,어왕리무학마을회,2020-08-20,,
서면,구만경로당,서면,구만,57-1,1978,105.7,,국(건설교통부),2020-08-20,,
매곡동,매산경로당,매곡동,,56-4,1963,35.04,,김현숙,2020-08-20,,
장천동,순천경로당,장천동,,55-10,1994,165.7,294.96,순천경로당,2020-08-20,,
낙안면,하송경로당,낙안면,하송,55-5,2005,79.38,200,낙안면하송리마을,2020-08-20,,
저전동,저전제일경로당,저전동,,55-1,2019,92.4,343,순천시,2020-08-20,,
낙안면,내운경로당,낙안면,내운,51-1,2001,73.08,439,내운노인회,2020-08-20,,
해룡면,당두경로당,해룡면,호두,50-5,1998,99.57,286,호두리당두마을회,2020-08-20,,
승주읍,서정경로당,승주읍,서평,47-1,1985,196.45,,서정마을회,2020-08-20,,
서면,입석경로당,서면,죽평,44-1,2004,89.19,491,서면입석마을회,2020-08-20,,
해룡면,소안경로당,해룡면,대안,43-1,2004,132.47,383.4,해룡면소안마을새마을회,2020-08-20,,
월등면,농곡경로당,월등면,농선,41-1,1993,49.98,,농곡마을회,2020-08-20,,
상사면,회룡경로당,상사면,용암,38-5,2002,89.22,253,김귀남,2020-08-20,,
도사동,월평경로당,인월동,,36-1,2004,66.6,,인월동월평마을회외1인(정화옥),2020-08-20,,
해룡면,신대중흥에스클래스1단지경로당,해룡면,신대,2103,2012,172.49,,신대중흥에스클래스1차아파트,2020-08-20,,
송광면,월은경로당,송광면,장안,2091,2004,77.71,514,장안리월은마을회,2020-08-20,,
해룡면,신대중흥에스클래스2단지경로당,해룡면,신대,2039,2013,195.3,,세흥건설주식회사외 2명,2020-08-20,,
해룡면,신대중흥에스클래스3단지경로당,해룡면,신대,2004,2014,217,,중흥에스클래스개발주식회사외 2명,2020-08-20,,
해룡면,신대중흥에스클래스5단지경로당,해룡면,신대,2003,2014,224,,합자회사중흥주택,2020-08-20,,
해룡면,신대중흥에스클래스7단지경로당,해룡면,신대,1970,2018,200.81,162,신대중흥에스클래스7단지아파트,2020-08-20,,
해룡면,메가타운경로당,해룡면,신대,1968,2015,273,85325.2,합자회사중흥주택외 1명,2020-08-20,,
왕조2동,조례연동대주1차파크빌경로당,조례동,,1820,2003,120,,대한건설주식회사,2020-08-20,,
왕조2동,중흥3차아파트경로당,조례동,,1804,1999,65.34,,합자회사중흥주택,2020-08-20,,
왕조2동,왕지아파트경로당,조례동,,1803,1999,65.74,,주식회사부영,2020-08-20,,
왕조2동,왕지현대1차아파트경로당,조례동,,1802,1998,82.567,,현대산업개발주식회사외 4명,2020-08-20,,
왕조2동,왕지현대2차아파트경로당,조례동,,1801,1999,91.8,,현대건설주식회사,2020-08-20,,
왕조2동,송촌프라임아파트경로당,조례동,,1800,2001,71.25,,송촌건설주식회사,2020-08-20,,
덕연동,연향송보파인빌경로당,연향동,,1746,2015,108.207,,송보건설주식회사,2020-08-20,,
덕연동,연향3지구 백세경로당,연향동,,1682,2016,568.46,1092.1,순천시,2020-08-20,,
왕조1동,조례주공7단지경로당,조례동,,1668,1996,127.1,,조례주공7단지,2020-08-20,,
왕조1동,조례효자원경로당,조례동,,1666,2003,116.61,,조례효자원,2020-08-20,,
왕조1동,봉화그린빌경로당,조례동,,1661,1999,65.21,,대한주택공사,2020-08-20,,
덕연동,대주피오레경로당,연향동,,1659,2006,73.5,,대주건설주식회사,2020-08-20,,
덕연동,블루시안경로당,연향동,,1658,2006,46.98,,유한회사중도하우징,2020-08-20,,
왕조1동,조례주공8단지경로당,조례동,,1658,1996,25.92,,조례주공8단지,2020-08-20,,
덕연동,율산에코지오경로당,연향동,,1631,2004,72,,주식회사부영,2020-08-20,,
왕조2동,중흥1차아파트경로당,조례동,,1630,1996,54,,중흥1차아파트,2020-08-20,,
왕조2동,금당대림아파트경로당,조례동,,1629,1994,64,,금당대림아파트,2020-08-20,,
덕연동,연향2차호반리젠시빌경로당,연향동,,1628,2002,70,,리젠시빌주식회사,2020-08-20,,
왕조2동,부영5차아파트경로당,조례동,,1612,1995,79.35,,주식회사부영,2020-08-20,,
왕조2동,금당2차중흥경로당,조례동,,1611,1995,54,,금당2차중흥,2020-08-20,,
왕조2동,동신1차아파트경로당,조례동,,1610,1994,68.4,,주식회사동신주택외 1명,2020-08-20,,
왕조2동,부영8차아파트경로당,조례동,,1609,1997,132.6,,주식회사부영,2020-08-20,,
왕조2동,조례금당대주아파트경로당,조례동,,1608,1995,70,,조례금당대주아파트,2020-08-20,,
왕조2동,조례동신2차아파트경로당,조례동,,1607,1998,104,,조례동신2차아파트,2020-08-20,,
덕연동,중흥파크경로당,연향동,,1515,2001,86,,합자회사중흥주택,2020-08-20,,
왕조1동,조례3단지아파트경로당,조례동,,1489,1988,97.24,,조례3단지아파트,2020-08-20,,
왕조1동,석호가람휘경로당,조례동,,1450,2003,111,,주식회사석호,2020-08-20,,
덕연동,대석경로당,연향동,,1441,2006,84.2,21133.7,순천시,2020-08-20,,
덕연동,금호타운경로당,연향동,,1387,1995,210.38,,주식회사금호건설외 1명,2020-08-20,,
덕연동,부영2차아파트경로당,연향동,,1386,1992,123,,주식회사부영,2020-08-20,,
덕연동,연향현대1차아파트경로당,연향동,,1378,1993,173.07,,연향현대1차아파트,2020-08-20,,
왕조1동,조례5차현대아파트경로당,조례동,,1362,2000,93,,조례5차현대아파트,2020-08-20,,
왕조1동,조례대림2차아파트경로당,조례동,,1362,1994,116.4,,조례대림2차아파트,2020-08-20,,
왕조1동,조례주공4단지경로당,조례동,,1348,1993,161.49,,대한주택공사,2020-08-20,,
왕조1동,조례주공6단지경로당,조례동,,1348,1995,64,,전라남도(교육감),2020-08-20,,
승주읍,백현경로당,승주읍,도정,1347,1971,48.84,95,백현마을회,2020-08-20,,
덕연동,동성경로당,연향동,,1347,1995,151.2,,동성아파트,2020-08-20,,
덕연동,동부아파트경로당,연향동,,1346,1991,155.52,,조익선외 2명,2020-08-20,,
덕연동,대우아파트경로당,연향동,,1345,1992,59,,대우아파트,2020-08-20,,
덕연동,현대2차아파트경로당,연향동,,1344,1994,129.24,,현대건설주식회사,2020-08-20,,
도사동,지정경로당,덕월동,,1327,,72,,국(농림부),2020-08-20,,
왕조1동,우명경로당,조례동,,1288,2013,110.33,348,순천시,2020-08-20,,
주암면,용곡경로당,주암면,오산,1177,2006,60.29,301.96,주암면용곡마을회,2020-08-20,,
서면,빛찬들아파트경로당,서면,선평,1092,2017,6377,27373,한국토지주택공사,2020-08-20,,
서면,라송센트럴카운티아파트경로당,서면,선평,1089,2012,106.8,,라송산업주식회사,2020-08-20,,
서면,배들마을아파트경로당,서면,선평,1087,2001,108.88,,배들마을아파트,2020-08-20,,
서면,당천경로당,서면,운평,1080,2005,99.48,366,순천시서면당천리마을회,2020-08-20,,
송광면,장안여자경로당,송광면,장안,1075,2001,57.99,,장안마을회,2020-08-20,,
왕조1동,조례장미경로당,조례동,,1030,1989,44.1,,명지개발주식회사,2020-08-20,,
서면,선평경로당,서면,선평,1026,1999,91.36,,서면선평마을회,2020-08-20,,
외서면,송곡경로당,외서면,월암,1011,1996,68.67,377,송곡마을회,2020-08-20,,
삼산동,신기경로당,가곡동,,998,1997,97.91,1980.1,순천시,2020-08-20,,
승주읍,월내경로당,승주읍,월계,994,1998,70.45,281,원월내,2020-08-20,,
승주읍,성산경로당,승주읍,신성,982,2009,73,516.94,성산마을성청회,2020-08-20,,
도사동,진아리채경로당,오천동,,982,2017,113.36,,진아건설주식회사,2020-08-20,,
삼산동,가곡시영아파트경로당,가곡동,,972,1991,37.5,,가곡시영아파트,2020-08-20,,
서면,수촌경로당,서면,구만,962,2006,78.48,279,수촌마을회,2020-08-20,,
삼산동,고지경로당,가곡동,,962,2005,91.6,198,순천시,2020-08-20,,
도사동,골드경로당,오천동,,954,2016,142.2,,골드디움주식회사,2020-08-20,,
도사동,대광지에이경로당,오천동,,952,2016,112,,주식회사디케이개발,2020-08-20,,
서면,북차경로당,서면,동산,951,2007,61.29,124,서면동산리북차마을회,2020-08-20,,
도사동,호반베르디움2차그린파크아파트경로당,오천동,,951,2017,114.72,,디에스자산개발주식회사,2020-08-20,,
해룡면,대광로제비앙2차경로당,해룡면,상삼,929,2016,174.52,,주식회사삼덕건설,2020-08-20,,
승주읍,용계경로당,승주읍,월계,901,1994,58.32,149,월계리용계마을,2020-08-20,,
삼산동,향림현대아파트경로당,석현동,,896,1991,88.8,,서진개발주식회사,2020-08-20,,
왕조1동,두산위브2단지경로당,왕지동,,894,2011,116.37,,주식회사해국필지앤씨외 1명,2020-08-20,,
별량면,봉덕경로당,별량면,봉림,861,2004,95.4,337,순천시별량면봉림리봉덕번영회,2020-08-20,,
황전면,미초경로당,황전면,덕림,860,2006,71.75,460,미초마을회,2020-08-20,,
도사동,한경아파트경로당,오천동,,855,2007,83,,한경아파트,2020-08-20,,
왕조1동,대림공영아파트경로당,조례동,,851,1992,134,,대림공영아파트,2020-08-20,,
외서면,신촌경로당,외서면,금성,846,2005,73.92,248,금성신촌마을회,2020-08-20,,
왕조1동,롯데캐슬아파트경로당,왕지동,,844,2009,149.05,,롯데캐슬아파트,2020-08-20,,
도사동,선암경로당,덕월동,,843,2008,117.3,574,선암마을회,2020-08-20,,
도사동,선암여자경로당,덕월동,,843,2008,117.3,574,선암마을회,2020-08-20,,
왕조1동,조례시영아파트경로당,조례동,,840,1992,31.83,,조례시영아파트,2020-08-20,,
별량면,간동경로당,별량면,우산,821,1999,78.5,197.9,별량면우산리간동마을회,2020-08-20,,
승주읍,고산경로당,승주읍,도정,818,2005,70,218,도정리고산마을회,2020-08-20,,
도사동,대동여자경로당,대룡동,,807,2005,60.48,172,대룡동대동마을회,2020-08-20,,
왕조1동,조례신월경로당,조례동,,807,2000,170.43,321,신월부락새마을회,2020-08-20,,
왕조1동,시대아파트경로당,조례동,,766,1992,141.75,,시대종합건설주식회사,2020-08-20,,
삼산동,덕진순천의봄아파트경로당,용당동,,756,2019,118.025,,덕진종합건설주식회사,2020-08-20,,
송광면,대흥경로당,송광면,대흥,753,2001,68.56,,"방규혁,박병연",2020-08-20,,
별량면,우명경로당,별량면,학산,753,2004,74.8,281,순천시별량면학산리우명마을회,2020-08-20,,
도사동,교량경로당,교향동,,746,2018,55.67,101.82,교량마을회,2020-08-20,,
낙안면,수정경로당,낙안면,목촌,745,2004,77.85,296.03,"나태수외3인(최귀동,나귀동,김복심)",2020-08-20,,
상사면,기동경로당,상사면,초곡,736,2006,60,151,상사기동마을회,2020-08-20,,
승주읍,강촌경로당,승주읍,구강,729,2003,75.24,1079,구강리,2020-08-20,,
송광면,송죽경로당,송광면,후곡,721,1999,88.92,585,후곡마을번영회,2020-08-20,,
황전면,하검경로당,황전면,죽청,697,2003,70,179,황전면하검마을회,2020-08-20,,
해룡면,송촌파인힐아파트경로당,해룡면,상삼,696,1999,99.64,,송촌건설주식회사,2020-08-20,,
해룡면,우미1차아파트경로당,해룡면,상삼,694,1993,180,,주식회사한국토지신탁,2020-08-20,,
해룡면,청솔2차아파트경로당,해룡면,상삼,694,2001,79.62,,주식회사한국토지신탁,2020-08-20,,
해룡면,청솔1차아파트경로당,해룡면,상삼,691,2001,79.62,,주식회사한국토지신탁,2020-08-20,,
도사동,동편여자경로당,대대동,,691,2014,62.51,435,순천시대대동동편마을회,2020-08-20,,
황전면,구룡경로당,황전면,덕림,686,2006,91.88,370,황전면구룡마을발전추진위원회,2020-08-20,,
승주읍,괴목경로당,승주읍,죽학,682,1995,90,172,죽학리괴목마을회,2020-08-20,,
송광면,왕대경로당,송광면,삼청,669,2003,50.87,317,"조옥환외2인(조지훈,박봉식)",2020-08-20,,
해룡면,부영6차아파트경로당,해룡면,상삼,661,1995,99036,,주식회사부영,2020-08-20,,
해룡면,부영7차아파트경로당,해룡면,상삼,660,1996,98.4,,부영7차아파트,2020-08-20,,
해룡면,부영3차아파트경로당,해룡면,상삼,657,1995,149.04,,주식회사동광주택,2020-08-20,,
주암면,백록경로당,주암면,백록,655,2017,83.25,466,백록리,2020-08-20,,
해룡면,우미2차아파트경로당,해룡면,상삼,653,1994,193.44,,주식회사우미주택,2020-08-20,,
해룡면,부영9차아파트경로당,해룡면,상삼,652,1997,62.4,,주식회사부영,2020-08-20,,
삼산동,가곡신영아파트경로당,가곡동,,646,1994,19.95,,주식회사신영주택,2020-08-20,,
승주읍,평지경로당,승주읍,평중,645,1994,105.6,313,승주읍평중리평지마을,2020-08-20,,
서면,송내경로당,서면,청소,638,2005,72.84,602,청소리송내마을회,2020-08-20,,
주암면,궁각경로당,주암면,궁각,623,2004,86.38,363,정병규외5인,2020-08-20,,
해룡면,와온경로당,해룡면,상내,619,2006,147.2,821,와온어촌계,2020-08-20,,
