"행정구역별(1)",2022,2022
"행정구역별(1)",재정자립도(세입과목개편전),재정자립도(세입과목개편후)
"전국",49.9,45.3
"서울특별시",80.9,76.3
"부산광역시",53.7,46.9
"대구광역시",51.1,47.9
"인천광역시",57.7,52.8
"광주광역시",46.0,41.1
"대전광역시",46.8,42.4
"울산광역시",54.7,48.7
"세종특별자치시",65.8,56.9
"경기도",66.3,61.6
"강원도",27.6,24.7
"충청북도",34.7,30.2
"충청남도",37.0,33.1
"전라북도",28.1,23.8
"전라남도",28.3,24.2
"경상북도",30.0,25.6
"경상남도",37.5,32.8
"제주특별자치도",37.1,32.7
