,Longitude,Latitude,layer_2,cluster_label,NUMPOINTS,1km,3km,score_1km,score_3km,score_acess,total_score,rank
285,126.611563,35.1792047,함평250,0,18,924.0,3404.0,5,5,3,13,1.0
15,126.4203866,35.1249728,함평250,1,18,208.0,733.0,2,2,3,7,1.0
133,126.5136134,35.054433,함평250,2,15,700.0,2327.0,4,4,3,11,1.0
