,약국명_y,CLUSTER_ID,좌표정보(X),좌표정보(Y),distance,fid,field_1,Unnamed: 0,CLUSTER_SIZE,ringId,fid_2,lbl,val,score,score_total,rank
4,태원약국,0,126.8879412,35.2766941,1000,2479,50719,50719,134,67,1065202,513.0,513.0,5,15,1
0,고서약국,1,126.9737538,35.2233747,1000,138,2898,2898,138,69,1156312,365.0,365.0,4,11,3
1,담양유명약국,2,126.9318063,35.3018024,1000,483,10005,10005,138,69,1389770,518.0,518.0,5,14,2
