Longitude,Latitude,fid,NUMPOINTS
126.5750298,35.0005772,1447,12
126.5751343,34.9951171,1208,9
126.5751941,34.9997526,1207,12
126.5783318,35.0359999,1199,2
126.5785562,35.0042952,1205,16
126.5789668,34.987074,1211,5
126.5790077,35.1173958,1341,3
126.5794046,35.1128549,1347,3
126.5795019,35.007956,1203,13
126.5798196,35.0526736,1194,8
126.5804848,35.1729739,1374,6
126.5818799,35.0449622,1448,4
126.581987,35.0452979,1195,4
126.5826464,35.0086976,1202,10
126.5832006,35.1027429,1313,7
126.5836086,35.0186527,1200,2
126.5860948,35.0060409,1204,12
126.5866335,35.1766332,1373,10
126.5872242,35.0780414,1450,9
126.5872977,35.1602545,1354,0
126.5874364,35.07839,1277,9
126.5878247,35.0065451,1201,12
126.5886187,35.1914032,1371,9
126.589105,35.0656597,1279,5
126.590456,35.1212052,1312,4
126.5910614,35.0987848,1319,7
126.5913013,35.1279878,1344,5
126.5924478,35.033519,1198,4
126.5926243,35.197121,1427,5
126.5930387,35.2055642,1426,3
126.594095,35.1187723,1343,6
126.594324,35.184632,1368,12
126.5946738,35.1502082,1311,6
126.5946881,35.1737516,1372,6
126.5947904,35.1172427,1337,4
126.5954304,35.1946614,1370,8
126.5958874,35.1602453,1351,8
126.5964651,35.2096429,1425,6
126.5967167,35.1573318,1353,6
126.5981544,35.1414685,1339,14
126.599194,35.2152132,1429,10
126.5993711,35.1335381,1348,14
126.6010204,35.1628915,1352,8
126.6014189,35.1363983,1323,14
126.6014427,35.2238299,1430,10
126.6014795,35.1785136,1367,11
126.6015162,35.1511743,1356,8
126.6018531,35.182528,1379,14
126.6024431,35.1227609,1349,12
126.6026001,35.1810935,1366,13
126.6027224,35.1792688,1439,15
126.6029113,35.2024193,1424,17
126.6029188,35.1865882,1369,14
126.603493,35.175812,1358,11
126.6037992,35.1044277,1334,6
126.604409,35.2091002,1422,12
126.604837,35.1388939,1342,14
126.6048645,35.1810447,217,15
126.6053629,35.1320295,1322,10
126.6053791,35.1278928,1327,13
126.6058285,35.1568097,1355,8
126.6059611,35.1733491,1361,12
126.6064764,35.1753822,1357,11
126.6067744,35.2121361,1423,12
126.6072088,35.1659048,1359,6
126.6074365,35.1617568,1360,8
126.6075909,35.1893965,1362,8
126.6078256,35.1025568,1333,5
126.6082581,35.1147292,1315,15
126.6085168,35.1140904,1438,17
126.6087903,35.2212412,1415,12
126.6097427,35.1110218,1318,17
126.6102768,35.1851207,1363,14
126.6103205,35.1135594,1317,17
126.6107934,35.2005631,1456,21
126.6109218,35.1124034,1009,34
126.6109471,35.1948278,1420,19
126.6112445,35.199867,1419,20
126.611563,35.1792047,1365,9
126.6115692,35.1824649,1364,11
126.6136773,35.2096582,1417,18
126.6145892,35.1985182,1418,16
126.6152367,35.1001512,1320,2
126.6166939,35.1126373,1316,14
126.6176914,35.1991592,1421,18
126.6177253,35.1103442,1321,12
126.6177843,35.1406827,1324,10
126.6181053,35.2056447,1416,18
126.6185109,35.1476864,1336,8
126.6187066,35.1545425,1338,6
126.6200323,35.1575411,1385,10
126.6211642,35.2145136,1413,13
126.6212632,35.2137149,1414,15
126.6218147,35.1355368,1325,8
126.6236609,35.1601999,1383,12
126.6236849,35.1626203,1384,9
126.6242226,35.2183764,1411,7
126.6258884,35.1398663,1329,14
126.6266148,35.1390823,1452,13
126.6269136,35.2056557,1407,11
126.6269248,35.1442794,1340,10
126.6273372,35.2140899,1412,9
126.6274236,35.1893787,1398,6
126.627425,35.1585318,1382,14
126.6276395,35.1262144,1328,4
126.6284738,35.2148148,1454,9
126.6295617,35.1181537,1332,8
126.6296894,35.2091393,1410,11
126.6299801,35.1659275,1387,11
126.6304297,35.1638595,1455,13
126.6308586,35.1554908,1381,7
126.6317692,35.1105243,1335,2
126.6318217,35.2125056,1409,9
126.6334105,35.2095148,1408,9
126.6344733,35.119252,1331,2
126.6344941,35.1906466,1403,8
126.6359487,35.1997873,1404,10
126.6384579,35.1895159,1402,6
126.6386576,35.1384836,1346,11
126.639328,35.1882385,1401,5
126.6400191,35.198025,1406,9
126.6407049,35.1614613,1386,8
126.6410281,35.1737008,1389,10
126.6426041,35.2056686,1405,6
126.6427455,35.1645533,1388,7
126.6437697,35.1410674,1345,9
126.6459651,35.1479116,1330,4
126.6465504,35.173876,1440,6
126.6495077,35.1838809,1390,2
126.6624004,35.1725479,1391,2
126.8812234,35.2874245,1015,1
126.8830404,35.2472854,1018,0
126.8843174,35.2601327,1017,0
126.8871368,35.2762945,754,1
126.8879412,35.2766941,685,1
126.8879502,35.2749357,10197,10
126.887971,35.2748009,1044,1
126.8884007,35.2628948,1020,0
126.8949584,35.2878221,1025,0
126.902177,35.2861865,2061,0
126.9031094,35.2663356,1022,0
126.9068776,35.2900873,1026,0
126.9151182,35.2896856,1055,0
126.9169295,35.3802415,977,0
126.9177533,35.2867996,1029,0
126.9211352,35.269693,993,0
126.9217933,35.3732635,978,0
126.925977,35.309006,1000,1
126.9270081,35.262903,994,0
126.9285027,35.301702,1043,1
126.9286941,35.3017494,4985,5
126.9288924,35.2742922,992,0
126.9297353,35.3118028,2005,0
126.9305397,35.302193,383,1
126.9318063,35.3018024,129,1
126.9333312,35.2932872,990,0
126.9336686,35.3181868,1004,0
126.9337342,35.3219821,1005,0
126.9359506,35.3081402,1001,1
126.9381535,35.285769,1054,0
126.9385287,35.2546525,812,0
126.9390882,35.2681311,814,0
126.9393356,35.2542079,1045,0
126.9404629,35.2989501,1007,0
126.9413556,35.2825701,991,0
126.9413945,35.3074737,1006,0
126.9417733,35.2931342,1011,0
126.9429661,35.3013426,1008,0
126.948538,35.350883,2910,3
126.9510089,35.2951301,1010,0
126.9516664,35.3045073,1009,0
126.9547196,35.3402131,9805,10
126.9552842,35.2232895,1659,0
126.9555831,35.2743733,1034,0
126.9562301,35.3400596,1042,1
126.9563616,35.232165,1046,0
126.9569166,35.2762079,7239,0
126.957664,35.3651073,983,0
126.958099,35.353463,3866,4
126.9649462,35.3730496,2940,9
126.9654772,35.2434817,1663,0
126.9655994,35.2749091,806,0
126.9664149,35.3620277,982,0
126.966666,35.3869587,958,2
126.9669217,35.2346773,1667,0
126.967227,35.2448427,881,0
126.968198,35.3583591,984,0
126.9693367,35.381129,957,4
126.9715784,35.2878055,799,0
126.9731564,35.2235263,10773,13
126.973604,35.273049,3224,0
126.9737538,35.2233747,35,1
126.974057,35.3501822,1053,0
126.974075,35.2232167,511,1
126.9743977,35.2892446,800,0
126.9748144,35.2889723,801,0
126.9749263,35.2236262,1035,1
126.9751707,35.2425931,880,0
126.977227,35.217248,828,1
126.977982,35.353263,2856,0
126.9788511,35.2183647,825,1
126.9789421,35.2219692,826,1
126.9789993,35.2217038,827,1
126.9806147,35.2390659,879,0
126.9823096,35.215902,2448,0
126.9855422,35.2813723,912,0
126.987322,35.3647096,1041,2
126.9875112,35.3649462,961,2
126.9885295,35.3658275,954,2
126.990065,35.355744,948,6
126.992837,35.2263654,840,0
126.9930828,35.3551633,1899,12
126.993821,35.366943,1911,4
126.9942886,35.4056687,960,0
126.9962915,35.3819256,959,0
127.0006393,35.292171,915,0
127.004935,35.343653,3146,0
127.0128891,35.2527314,893,0
127.01756,35.371239,1865,0
127.017723,35.334122,1567,0
127.0183035,35.3228343,789,0
127.020234,35.222398,865,0
127.0212608,35.2535291,2670,0
127.0247769,35.2512318,888,0
127.0255134,35.3433824,6574,7
127.0261759,35.3439414,1040,1
127.0278708,35.1774663,7667,0
127.02789,35.177192,1689,0
127.0279111,35.4234058,2889,12
127.0279159,35.4234231,1052,4
127.0285797,35.3456651,1861,2
127.028838,35.35488,1873,0
127.0294249,35.3153833,946,0
127.0301411,35.2948718,9176,0
127.0308147,35.1773595,1036,0
127.0310274,35.1634148,2541,0
127.0315828,35.3203401,945,0
127.0320416,35.3206025,1051,0
127.0323503,35.29422,1039,0
127.0354789,35.2062115,887,0
127.0359017,35.248653,1038,0
127.0370119,35.249425,9889,0
127.0387469,35.2891998,1817,0
127.0394554,35.2661527,1049,0
127.0408029,35.1610048,849,0
127.0437158,35.137669,850,0
127.04505,35.350629,939,1
127.045063,35.35053,1881,2
127.05224,35.350162,938,1
127.0526949,35.3503518,1050,1
127.0552664,35.1806481,858,0
127.0572436,35.2897628,920,0
127.0578133,35.2655345,898,0
127.0593898,35.2070612,907,0
127.0638437,35.2969656,921,0
127.0642555,35.2823934,925,0
127.0678862,35.1405741,855,0
127.068526,35.1400869,1047,0
127.0718657,35.2854816,924,0
127.0868602,35.2183685,1950,0
127.087429,35.268562,1855,0
127.1010054,35.2101023,903,0
