,약국명_y,CLUSTER_ID,좌표정보(X),좌표정보(Y),distance,fid,field_1,Unnamed: 0,CLUSTER_SIZE,ringId,fid_2,lbl,val,score,score_total,rank
0,미래약국,1,126.6048645,35.1810447,1000.0,780,15860,15860,65,65,5825447,515.0,515.0,5,14.0,1
1,새태평양약국,0,126.6109218,35.1124034,1000.0,1005,24053,24053,134,67,6010613,254.0,254.0,3,11.0,2
